algo,selected_candidate,baseline_success_rate,nocicim_success_rate,success_delta,baseline_clean_success_rate,nocicim_clean_success_rate,clean_success_delta,baseline_mean_cost_rate,nocicim_mean_cost_rate,cost_rate_delta,baseline_crash_rate,nocicim_crash_rate,crash_delta,baseline_out_of_road_rate,nocicim_out_of_road_rate,out_of_road_delta
td3,nocicim_soft_front_trim,0.76,0.79,0.030000000000000027,0.1,0.11,0.009999999999999995,0.04460739189252037,0.040617338150066906,-0.003990053742453467,0.8200000000000001,0.81,-0.010000000000000009,0.25,0.19,-0.06
epo,nocicim_crash_aware_route,0.77,0.79,0.020000000000000018,0.29,0.32,0.030000000000000027,0.013406275624131967,0.011557724222512054,-0.001848551401619913,0.61,0.56,-0.04999999999999993,0.22,0.2,-0.01999999999999999
rec,nocicim_route_preserve,0.71,0.79,0.08000000000000007,0.09,0.12,0.03,0.045118439455119404,0.03828525824071224,-0.006833181214407166,0.8,0.79,-0.010000000000000009,0.29,0.21000000000000002,-0.07999999999999996
qpsl,nocicim_soft_crash_guard,0.87,0.89,0.020000000000000018,0.08,0.09000000000000001,0.010000000000000009,0.04405952968576572,0.04539166074048982,0.0013321310547241005,0.86,0.86,0.0,0.14,0.12000000000000001,-0.020000000000000004
lag,nocicim_close_range,0.73,0.76,0.030000000000000027,0.21,0.22,0.010000000000000009,0.01771105768855317,0.0111632161565715,-0.006547841531981671,0.72,0.66,-0.05999999999999994,0.26,0.24,-0.020000000000000018
