algo,train_seed,candidate,frontend,success_rate,clean_success_rate,mean_reward,mean_episode_cost,mean_cost_rate,crash_rate,out_of_road_rate,out_of_time_rate,intervention_ratio,mean_action_distortion
td3,2,nocicim_risk_gated_micro_guard,nocicim_risk_field,0.85,0.15,323.4085370344423,13.5,0.04264750650270259,0.75,0.2,0.0,0.014732290361214696,0.0021844536042907006
td3,3,none,none,0.65,0.1,293.23325086259,14.85,0.05411292358193569,0.8,0.35,0.0,0.0,0.0
td3,3,nocicim_soft_crash_guard,nocicim_risk_field,0.75,0.1,302.8605569661613,16.9,0.059470685290064086,0.8,0.25,0.0,0.004770816172856985,0.0012806695387197324
td3,3,nocicim_crash_aware_route,nocicim_risk_field,0.8,0.1,310.9538176079137,16.7,0.06019647547650693,0.8,0.25,0.0,0.006621086333089466,0.0012690471167213742
td3,3,nocicim_conservative_clean,nocicim_risk_field,0.65,0.1,292.7294688424653,14.8,0.05393973181020377,0.8,0.35,0.0,0.0001824817518248175,1.8242839044027954e-05
td3,3,nocicim_route_preserve,nocicim_risk_field,0.65,0.05,283.30027849701565,11.35,0.036822319460639005,0.85,0.35,0.0,0.08614556212121524,0.06681864852468034
td3,3,nocicim_micro_guard,nocicim_risk_field,0.75,0.1,297.87727163924035,11.45,0.03240941444187617,0.8,0.25,0.0,0.06519026979356526,0.058979432299027655
td3,3,nocicim_cost_guard,nocicim_risk_field,0.6,0.05,265.27484814734623,7.65,0.0241179718647362,0.85,0.35,0.0,0.16822157566067794,0.21015054875979974
td3,3,nocicim_soft_front_trim,nocicim_risk_field,0.7,0.1,289.45462030196643,16.45,0.04143906328670326,0.8,0.25,0.0,0.0803162719516725,0.13959200169671462
td3,3,nocicim_close_range,nocicim_risk_field,0.85,0.1,317.0013647583214,9.3,0.026973238491098277,0.85,0.15,0.0,0.14306842712044365,0.13031315929846643
td3,3,nocicim_memory_confirmed_stop,nocicim_risk_field,0.7,0.1,298.5476601857311,16.95,0.06118829423608019,0.8,0.3,0.0,0.009317269668736352,0.0013792535203384435
td3,3,nocicim_risk_gated_micro_guard,nocicim_risk_field,0.7,0.1,298.5476601857311,16.95,0.06118829423608019,0.8,0.3,0.0,0.009317269668736352,0.0013792535203384435
td3,4,none,none,0.75,0.1,312.7231249728007,12.3,0.04022813278854557,0.8,0.25,0.0,0.0,0.0
td3,4,nocicim_soft_crash_guard,nocicim_risk_field,0.7,0.1,309.79756112409575,13.1,0.04243966013022088,0.8,0.3,0.0,0.002934865040734285,0.0008174644496597265
td3,4,nocicim_crash_aware_route,nocicim_risk_field,0.8,0.1,317.2010260111823,13.7,0.047478735840471256,0.8,0.2,0.0,0.005435104248001583,0.0010790870341907445
td3,4,nocicim_conservative_clean,nocicim_risk_field,0.75,0.1,312.79380343495575,12.6,0.041033708452633974,0.8,0.25,0.0,0.0010651241745410303,0.00010199439942842024
td3,4,nocicim_route_preserve,nocicim_risk_field,0.8,0.05,319.534163866856,12.85,0.03882466907195663,0.9,0.2,0.0,0.13957915072609436,0.06748955809732873
td3,4,nocicim_micro_guard,nocicim_risk_field,0.85,0.1,319.13264907239954,12.35,0.040818604790337935,0.9,0.15,0.0,0.1125071325032303,0.06002569080029664
td3,4,nocicim_cost_guard,nocicim_risk_field,0.8,0.05,307.4930855373729,7.95,0.022828664277348955,0.95,0.15,0.0,0.2465698047200478,0.28939264428955636
td3,4,nocicim_soft_front_trim,nocicim_risk_field,0.8,0.1,315.87467009425836,12.75,0.04013204840277354,0.8,0.2,0.0,0.024970904005752664,0.04541406335985947
td3,4,nocicim_close_range,nocicim_risk_field,0.85,0.05,321.7139111470595,8.15,0.02562736892789149,0.95,0.2,0.0,0.19147616041259286,0.15732923789289385
td3,4,nocicim_memory_confirmed_stop,nocicim_risk_field,0.8,0.1,318.61569775177907,13.45,0.04823526111161639,0.8,0.25,0.0,0.01071170165371836,0.0015787967175083701
td3,4,nocicim_risk_gated_micro_guard,nocicim_risk_field,0.8,0.1,318.61569775177907,13.45,0.04823526111161639,0.8,0.25,0.0,0.01071170165371836,0.0015787967175083701
epo,0,none,none,0.75,0.35,290.1832297509096,3.6,0.012871368477812487,0.55,0.25,0.0,0.0,0.0
epo,0,nocicim_soft_crash_guard,nocicim_risk_field,0.75,0.35,287.79819852410236,3.15,0.011715674531880011,0.55,0.25,0.0,0.0010556587594512518,0.00028870524283225864
epo,0,nocicim_crash_aware_route,nocicim_risk_field,0.8,0.35,300.51754243431003,4.4,0.013739005232548738,0.55,0.2,0.0,0.004478996120267459,0.0008859563475389169
epo,0,nocicim_conservative_clean,nocicim_risk_field,0.8,0.35,300.506824444132,3.7,0.012386471430426538,0.55,0.2,0.0,0.0008046192392090867,7.880658521615053e-05
epo,0,nocicim_route_preserve,nocicim_risk_field,0.65,0.35,290.3800698496554,5.0,0.016132732058540263,0.5,0.35,0.0,0.05928756487725789,0.02586551260002496
epo,0,nocicim_micro_guard,nocicim_risk_field,0.75,0.3,297.1507922965656,5.35,0.0131015787517503,0.55,0.2,0.0,0.03571130943609943,0.011938064937226723
epo,0,nocicim_cost_guard,nocicim_risk_field,0.75,0.25,275.1812865757348,1.7,0.005519749826708131,0.6,0.2,0.0,0.1478186490471072,0.1777489476092233
epo,0,nocicim_soft_front_trim,nocicim_risk_field,0.85,0.35,306.43931111601233,3.85,0.012082702383023603,0.55,0.15,0.0,0.003129087365252757,0.0058588017321868245
epo,0,nocicim_close_range,nocicim_risk_field,0.75,0.35,292.30338524896626,2.3,0.006944455872991808,0.55,0.2,0.0,0.1200104531950957,0.10225487586532449
epo,0,nocicim_memory_confirmed_stop,nocicim_risk_field,0.8,0.35,293.94165069776955,3.5,0.012817311278864119,0.55,0.2,0.0,0.006416717816525442,0.0009571800946185226
epo,0,nocicim_risk_gated_micro_guard,nocicim_risk_field,0.8,0.35,293.94165069776955,3.5,0.012817311278864119,0.55,0.2,0.0,0.006416717816525442,0.0009571800946185226
epo,1,none,none,0.75,0.15,292.4661425263945,5.6,0.016882295483466182,0.75,0.2,0.0,0.0,0.0
epo,1,nocicim_soft_crash_guard,nocicim_risk_field,0.8,0.15,299.777183061681,6.6,0.01870115251672691,0.75,0.15,0.0,0.005461430897240731,0.0015229807618349557
epo,1,nocicim_crash_aware_route,nocicim_risk_field,0.75,0.2,294.7322057310076,5.5,0.015723117005871888,0.65,0.2,0.0,0.006123290942956721,0.0012173867496517365
epo,1,nocicim_conservative_clean,nocicim_risk_field,0.8,0.15,299.91428379720327,6.35,0.017420864070109794,0.75,0.15,0.0,0.0011645403136704682,0.00011645375530448246
epo,1,nocicim_route_preserve,nocicim_risk_field,0.75,0.2,289.0007418165051,3.8,0.013807751353396142,0.7,0.25,0.0,0.11977625422127418,0.03829678507188748
epo,1,nocicim_micro_guard,nocicim_risk_field,0.75,0.2,293.288537677026,6.3,0.017099679611599784,0.7,0.2,0.0,0.07404385571624815,0.019544379036497563
