episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,baseline,3,paper_1m_20260629_qpsl_seed3,339,1.0,11.0,11,0.032448377581120944,0.0,0.0,0.0,0.0
1,baseline,3,paper_1m_20260629_qpsl_seed3,234,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2,baseline,3,paper_1m_20260629_qpsl_seed3,453,1.0,51.0,51,0.11258278145695365,0.0,0.0,0.0,0.0
3,baseline,3,paper_1m_20260629_qpsl_seed3,205,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
4,baseline,3,paper_1m_20260629_qpsl_seed3,313,1.0,36.0,36,0.11501597444089456,0.0,0.0,0.0,0.0
5,baseline,3,paper_1m_20260629_qpsl_seed3,435,1.0,45.0,45,0.10344827586206896,0.0,0.0,0.0,0.0
6,baseline,3,paper_1m_20260629_qpsl_seed3,254,1.0,12.0,12,0.047244094488188976,0.0,0.0,0.0,0.0
7,baseline,3,paper_1m_20260629_qpsl_seed3,205,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
8,baseline,3,paper_1m_20260629_qpsl_seed3,393,1.0,34.0,34,0.08651399491094147,0.0,0.0,0.0,0.0
9,baseline,3,paper_1m_20260629_qpsl_seed3,166,1.0,1.0,1,0.006024096385542169,0.0,0.0,0.0,0.0
10,baseline,3,paper_1m_20260629_qpsl_seed3,350,1.0,9.0,9,0.025714285714285714,0.0,0.0,0.0,0.0
11,baseline,3,paper_1m_20260629_qpsl_seed3,254,1.0,21.0,21,0.08267716535433071,0.0,0.0,0.0,0.0
12,baseline,3,paper_1m_20260629_qpsl_seed3,436,1.0,77.0,77,0.17660550458715596,0.0,0.0,0.0,0.0
13,baseline,3,paper_1m_20260629_qpsl_seed3,195,1.0,4.0,4,0.020512820512820513,0.0,0.0,0.0,0.0
14,baseline,3,paper_1m_20260629_qpsl_seed3,220,1.0,8.0,8,0.03636363636363636,0.0,0.0,0.0,0.0
15,baseline,3,paper_1m_20260629_qpsl_seed3,89,0.0,3.0,3,0.033707865168539325,0.0,0.0,0.0,0.0
16,baseline,3,paper_1m_20260629_qpsl_seed3,215,1.0,6.0,6,0.027906976744186046,0.0,0.0,0.0,0.0
17,baseline,3,paper_1m_20260629_qpsl_seed3,341,1.0,26.0,26,0.07624633431085044,0.0,0.0,0.0,0.0
18,baseline,3,paper_1m_20260629_qpsl_seed3,372,1.0,15.0,15,0.04032258064516129,0.0,0.0,0.0,0.0
19,baseline,3,paper_1m_20260629_qpsl_seed3,235,1.0,1.0,1,0.00425531914893617,0.0,0.0,0.0,0.0
