episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,2,paper_1m_20260629_qpsl_seed2,254,1.0,2.0,2,0.007874015748031496,0.2643396017270333,0.2637795275590551,0.11236752904988238,0.0
1,longitudinal,2,paper_1m_20260629_qpsl_seed2,254,1.0,2.0,2,0.007874015748031496,0.09949159796802325,0.08267716535433071,0.03322940559573765,0.0
2,longitudinal,2,paper_1m_20260629_qpsl_seed2,242,1.0,1.0,1,0.004132231404958678,0.2638558998340194,0.24380165289256198,0.10653598003151003,0.0
3,longitudinal,2,paper_1m_20260629_qpsl_seed2,314,1.0,8.0,8,0.025477707006369428,0.46008657347809845,0.4585987261146497,0.22375554957569452,0.0
4,longitudinal,2,paper_1m_20260629_qpsl_seed2,368,1.0,14.0,14,0.03804347826086957,0.3855925364616907,0.38315217391304346,0.19213648557848975,0.0
5,longitudinal,2,paper_1m_20260629_qpsl_seed2,329,1.0,9.0,9,0.02735562310030395,0.6694753033267611,0.6717325227963525,0.3324604979220857,0.0
6,longitudinal,2,paper_1m_20260629_qpsl_seed2,285,1.0,10.0,10,0.03508771929824561,0.5981923217213408,0.6035087719298246,0.29022217378543136,0.0
7,longitudinal,2,paper_1m_20260629_qpsl_seed2,269,1.0,3.0,3,0.011152416356877323,0.3744922854819444,0.3680297397769517,0.17597729360622433,0.0
8,longitudinal,2,paper_1m_20260629_qpsl_seed2,326,1.0,11.0,11,0.03374233128834356,0.5324287735105554,0.5337423312883436,0.2777632584401115,0.0
9,longitudinal,2,paper_1m_20260629_qpsl_seed2,264,1.0,2.0,2,0.007575757575757576,0.3679947519414908,0.35984848484848486,0.1774400983139816,0.0
10,longitudinal,2,paper_1m_20260629_qpsl_seed2,474,1.0,30.0,30,0.06329113924050633,0.5537637748774238,0.5548523206751055,0.21104404010479869,0.0
11,longitudinal,2,paper_1m_20260629_qpsl_seed2,241,1.0,14.0,14,0.058091286307053944,0.47580337591793215,0.46887966804979253,0.22935464522894086,0.0
12,longitudinal,2,paper_1m_20260629_qpsl_seed2,228,1.0,15.0,15,0.06578947368421052,0.41070735389407814,0.40789473684210525,0.18780127965044557,0.0
13,longitudinal,2,paper_1m_20260629_qpsl_seed2,331,1.0,3.0,3,0.00906344410876133,0.610516726962852,0.6072507552870091,0.3001986184689214,0.0
14,longitudinal,2,paper_1m_20260629_qpsl_seed2,323,0.0,20.0,20,0.06191950464396285,0.6049894249275636,0.6130030959752322,0.29223786891314085,0.0
15,longitudinal,2,paper_1m_20260629_qpsl_seed2,246,0.0,14.0,14,0.056910569105691054,0.4704597592127099,0.4715447154471545,0.2193017889427521,0.0
16,longitudinal,2,paper_1m_20260629_qpsl_seed2,263,1.0,14.0,14,0.053231939163498096,0.3682186803163227,0.3726235741444867,0.17461848400972302,0.0
17,longitudinal,2,paper_1m_20260629_qpsl_seed2,280,1.0,6.0,6,0.02142857142857143,0.3720885670849325,0.37142857142857144,0.17889760432964458,0.0
18,longitudinal,2,paper_1m_20260629_qpsl_seed2,275,1.0,3.0,3,0.01090909090909091,0.3440768727202447,0.3381818181818182,0.1669972636821595,0.0
19,longitudinal,2,paper_1m_20260629_qpsl_seed2,244,1.0,0.0,0,0.0,0.20273427895608895,0.1721311475409836,0.07612789617698701,0.0
