episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,1,paper_1m_20260629_qpsl_seed1,343,1.0,7.0,7,0.02040816326530612,0.8135965462070994,0.8163265306122449,0.40090168268303045,0.0
1,longitudinal,1,paper_1m_20260629_qpsl_seed1,519,1.0,41.0,41,0.0789980732177264,0.7916947350935064,0.791907514450867,0.38094560075430145,0.0
2,longitudinal,1,paper_1m_20260629_qpsl_seed1,190,0.0,8.0,8,0.042105263157894736,0.14961874819594204,0.14210526315789473,0.07168261438216034,0.0
3,longitudinal,1,paper_1m_20260629_qpsl_seed1,218,1.0,9.0,9,0.04128440366972477,0.5050223390288358,0.5091743119266054,0.2539119509757932,0.0
4,longitudinal,1,paper_1m_20260629_qpsl_seed1,433,1.0,33.0,33,0.07621247113163972,0.7941935861630739,0.7944572748267898,0.38705194852646657,0.0
5,longitudinal,1,paper_1m_20260629_qpsl_seed1,329,1.0,24.0,24,0.0729483282674772,0.657598047341983,0.6595744680851063,0.3215874908261969,0.0
6,longitudinal,1,paper_1m_20260629_qpsl_seed1,274,1.0,17.0,17,0.06204379562043796,0.485939689649143,0.48175182481751827,0.21997548136044376,0.0
7,longitudinal,1,paper_1m_20260629_qpsl_seed1,218,1.0,2.0,2,0.009174311926605505,0.5074659391048404,0.5091743119266054,0.25490336212406467,0.0
8,longitudinal,1,paper_1m_20260629_qpsl_seed1,387,0.0,22.0,22,0.056847545219638244,0.7546506417801948,0.7596899224806202,0.36481220215797855,0.0
9,longitudinal,1,paper_1m_20260629_qpsl_seed1,351,1.0,7.0,7,0.019943019943019943,0.8312970458526041,0.8376068376068376,0.4128021213220714,0.0
10,longitudinal,1,paper_1m_20260629_qpsl_seed1,201,0.0,13.0,13,0.06467661691542288,0.5289882527652756,0.5174129353233831,0.25442483650974523,0.0
11,longitudinal,1,paper_1m_20260629_qpsl_seed1,358,1.0,10.0,10,0.027932960893854747,0.8277650316884041,0.8324022346368715,0.3995322509153028,0.0
12,longitudinal,1,paper_1m_20260629_qpsl_seed1,187,0.0,5.0,5,0.026737967914438502,0.12686738883832552,0.12299465240641712,0.058530044806672926,0.0
13,longitudinal,1,paper_1m_20260629_qpsl_seed1,213,1.0,4.0,4,0.018779342723004695,0.47558778001164825,0.47417840375586856,0.23010309220908184,0.0
14,longitudinal,1,paper_1m_20260629_qpsl_seed1,190,1.0,1.0,1,0.005263157894736842,0.19952435520800935,0.18947368421052632,0.08685581826261785,0.0
15,longitudinal,1,paper_1m_20260629_qpsl_seed1,396,1.0,26.0,26,0.06565656565656566,0.8178702465160057,0.8181818181818182,0.40095055880771147,0.0
16,longitudinal,1,paper_1m_20260629_qpsl_seed1,242,1.0,0.0,0,0.0,0.2379213359356655,0.2190082644628099,0.10161604535234861,0.0
17,longitudinal,1,paper_1m_20260629_qpsl_seed1,591,1.0,35.0,35,0.05922165820642978,0.8055852932745684,0.8071065989847716,0.3803249628325631,0.0
18,longitudinal,1,paper_1m_20260629_qpsl_seed1,1000,0.0,32.0,32,0.032,0.16348602026562156,0.131,0.048578974303440194,0.0
19,longitudinal,1,paper_1m_20260629_qpsl_seed1,497,1.0,15.0,15,0.030181086519114688,0.7746657966121944,0.7766599597585513,0.38346987052106674,0.0
