episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,2,paper_1m_20260629_qpsl_seed2,317,1.0,3.0,3,0.00946372239747634,0.5897877021737544,0.5930599369085173,0.42655752484072645,0.0
1,longitudinal,2,paper_1m_20260629_qpsl_seed2,725,1.0,43.0,43,0.05931034482758621,0.7073976037148391,0.7089655172413794,0.22117965985410687,0.0
2,longitudinal,2,paper_1m_20260629_qpsl_seed2,280,1.0,3.0,3,0.010714285714285714,0.3939446921860295,0.425,0.26154164469085767,0.0
3,longitudinal,2,paper_1m_20260629_qpsl_seed2,275,0.0,12.0,12,0.04363636363636364,0.17969977144473784,0.1781818181818182,0.1077241923185912,0.0
4,longitudinal,2,paper_1m_20260629_qpsl_seed2,298,1.0,4.0,4,0.013422818791946308,0.4217064314195021,0.4395973154362416,0.2819087348515855,0.0
5,longitudinal,2,paper_1m_20260629_qpsl_seed2,259,1.0,3.0,3,0.011583011583011582,0.29720632056632884,0.305019305019305,0.1870728136942826,0.0
6,longitudinal,2,paper_1m_20260629_qpsl_seed2,291,1.0,6.0,6,0.020618556701030927,0.39586903444120175,0.3848797250859107,0.23910909545163006,0.0
7,longitudinal,2,paper_1m_20260629_qpsl_seed2,327,1.0,11.0,11,0.03363914373088685,0.4789929858460176,0.47706422018348627,0.3313229566326775,0.0
8,longitudinal,2,paper_1m_20260629_qpsl_seed2,260,1.0,7.0,7,0.026923076923076925,0.3606192341224368,0.3730769230769231,0.23340679141334617,0.0
9,longitudinal,2,paper_1m_20260629_qpsl_seed2,291,1.0,11.0,11,0.037800687285223365,0.4329924523792112,0.4329896907216495,0.2838559146107197,0.0
10,longitudinal,2,paper_1m_20260629_qpsl_seed2,114,0.0,6.0,6,0.05263157894736842,0.4510746883987624,0.43859649122807015,0.28018841473692047,0.0
11,longitudinal,2,paper_1m_20260629_qpsl_seed2,232,0.0,5.0,5,0.021551724137931036,0.20736998137103924,0.2025862068965517,0.14676891492101654,0.0
12,longitudinal,2,paper_1m_20260629_qpsl_seed2,342,1.0,9.0,9,0.02631578947368421,0.49856612165444186,0.5058479532163743,0.34171844222065473,0.0
13,longitudinal,2,paper_1m_20260629_qpsl_seed2,244,1.0,4.0,4,0.01639344262295082,0.22697136612374125,0.20901639344262296,0.12757699585473928,0.0
14,longitudinal,2,paper_1m_20260629_qpsl_seed2,248,1.0,7.0,7,0.028225806451612902,0.49752186034413703,0.4959677419354839,0.3385530564588525,0.0
15,longitudinal,2,paper_1m_20260629_qpsl_seed2,270,1.0,2.0,2,0.007407407407407408,0.455971553495621,0.44814814814814813,0.3003855718817148,0.0
16,longitudinal,2,paper_1m_20260629_qpsl_seed2,322,1.0,3.0,3,0.009316770186335404,0.5339990216996573,0.5403726708074534,0.34860141482927276,0.0
17,longitudinal,2,paper_1m_20260629_qpsl_seed2,317,1.0,5.0,5,0.015772870662460567,0.40521955074591304,0.3943217665615142,0.26216654054532623,0.0
18,longitudinal,2,paper_1m_20260629_qpsl_seed2,730,1.0,32.0,32,0.043835616438356165,0.7074790555078403,0.7082191780821918,0.46395034677108227,0.0
19,longitudinal,2,paper_1m_20260629_qpsl_seed2,309,1.0,8.0,8,0.025889967637540454,0.4480803382946966,0.44336569579288027,0.291772745763672,0.0
