episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,4,paper_1m_20260629_qpsl_seed4,206,1.0,4.0,4,0.019417475728155338,0.1844142391116927,0.18446601941747573,0.10899312123181569,0.0
1,longitudinal,4,paper_1m_20260629_qpsl_seed4,366,1.0,45.0,45,0.12295081967213115,0.2503146083432954,0.24863387978142076,0.16299193129856318,0.0
2,longitudinal,4,paper_1m_20260629_qpsl_seed4,211,1.0,3.0,3,0.014218009478672985,0.1804446467881801,0.17535545023696683,0.10561246767428249,0.0
3,longitudinal,4,paper_1m_20260629_qpsl_seed4,293,1.0,10.0,10,0.034129692832764506,0.5686766762301808,0.5699658703071673,0.3896886607967381,0.0
4,longitudinal,4,paper_1m_20260629_qpsl_seed4,627,1.0,16.0,16,0.025518341307814992,0.8324508938639927,0.8341307814992025,0.5882440962308076,0.0
5,longitudinal,4,paper_1m_20260629_qpsl_seed4,205,1.0,4.0,4,0.01951219512195122,0.18981041098863818,0.17560975609756097,0.10722117432983728,0.0
6,longitudinal,4,paper_1m_20260629_qpsl_seed4,376,1.0,9.0,9,0.023936170212765957,0.712312122932519,0.7154255319148937,0.5012732130633866,0.0
7,longitudinal,4,paper_1m_20260629_qpsl_seed4,389,1.0,32.0,32,0.08226221079691516,0.5296556480116247,0.5372750642673522,0.3587588674064419,0.0
8,longitudinal,4,paper_1m_20260629_qpsl_seed4,485,1.0,8.0,8,0.016494845360824743,0.4327176545974367,0.42061855670103093,0.28378052565307577,0.0
9,longitudinal,4,paper_1m_20260629_qpsl_seed4,297,1.0,11.0,11,0.037037037037037035,0.2147967341487252,0.2053872053872054,0.13184469485081582,0.0
10,longitudinal,4,paper_1m_20260629_qpsl_seed4,270,1.0,6.0,6,0.022222222222222223,0.47741756422915305,0.4666666666666667,0.3240123233999367,0.0
11,longitudinal,4,paper_1m_20260629_qpsl_seed4,335,1.0,13.0,13,0.03880597014925373,0.5933516972392081,0.6,0.41343983004787077,0.0
12,longitudinal,4,paper_1m_20260629_qpsl_seed4,314,1.0,6.0,6,0.01910828025477707,0.3338940361782464,0.32802547770700635,0.2212453765756077,0.0
13,longitudinal,4,paper_1m_20260629_qpsl_seed4,353,1.0,36.0,36,0.10198300283286119,0.7209430490792108,0.7252124645892352,0.4877319422678457,0.0
14,longitudinal,4,paper_1m_20260629_qpsl_seed4,219,1.0,2.0,2,0.0091324200913242,0.48345548115678777,0.4885844748858447,0.322344496659084,0.0
15,longitudinal,4,paper_1m_20260629_qpsl_seed4,224,1.0,1.0,1,0.004464285714285714,0.49067299463920205,0.5,0.3313421602444058,0.0
16,longitudinal,4,paper_1m_20260629_qpsl_seed4,416,1.0,3.0,3,0.007211538461538462,0.7845853649602486,0.7884615384615384,0.5393581616355312,0.0
17,longitudinal,4,paper_1m_20260629_qpsl_seed4,294,1.0,8.0,8,0.027210884353741496,0.21697963589251643,0.20408163265306123,0.13039574888376457,0.0
18,longitudinal,4,paper_1m_20260629_qpsl_seed4,437,0.0,7.0,7,0.016018306636155607,0.2839831976332476,0.2837528604118993,0.19324421941662884,0.0
19,longitudinal,4,paper_1m_20260629_qpsl_seed4,500,1.0,11.0,11,0.022,0.5262962107290482,0.53,0.35759415197838096,0.0
