episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,4,paper_1m_20260629_qpsl_seed4,362,1.0,18.0,18,0.049723756906077346,0.8199028755639824,0.8204419889502762,0.38847641364024255,0.0
1,longitudinal,4,paper_1m_20260629_qpsl_seed4,237,1.0,0.0,0,0.0,0.4436942504730781,0.43037974683544306,0.20764843524602647,0.0
2,longitudinal,4,paper_1m_20260629_qpsl_seed4,327,1.0,12.0,12,0.03669724770642202,0.5901255833560065,0.5840978593272171,0.26949227416645083,0.0
3,longitudinal,4,paper_1m_20260629_qpsl_seed4,253,1.0,9.0,9,0.03557312252964427,0.6802634774207507,0.6798418972332015,0.3179405319666409,0.0
4,longitudinal,4,paper_1m_20260629_qpsl_seed4,335,1.0,7.0,7,0.020895522388059702,0.702594064422784,0.7014925373134329,0.34128856360912324,0.0
5,longitudinal,4,paper_1m_20260629_qpsl_seed4,351,1.0,22.0,22,0.06267806267806268,0.7909300844182026,0.7834757834757835,0.3770171469701003,0.0
6,longitudinal,4,paper_1m_20260629_qpsl_seed4,474,1.0,27.0,27,0.056962025316455694,0.7215041138411367,0.7215189873417721,0.35755712186567923,0.0
7,longitudinal,4,paper_1m_20260629_qpsl_seed4,376,1.0,37.0,37,0.09840425531914894,0.5436528461578749,0.5425531914893617,0.2651584761494652,0.0
8,longitudinal,4,paper_1m_20260629_qpsl_seed4,366,1.0,10.0,10,0.0273224043715847,0.7061540989384045,0.7076502732240437,0.33739715715341223,0.0
9,longitudinal,4,paper_1m_20260629_qpsl_seed4,339,1.0,22.0,22,0.06489675516224189,0.4910884281330148,0.48672566371681414,0.23333688425504573,0.0
10,longitudinal,4,paper_1m_20260629_qpsl_seed4,164,0.0,7.0,7,0.042682926829268296,0.2865425664302079,0.27439024390243905,0.10843099518565506,0.0
11,longitudinal,4,paper_1m_20260629_qpsl_seed4,253,1.0,5.0,5,0.019762845849802372,0.3730273789722881,0.3715415019762846,0.16960845234630842,0.0
12,longitudinal,4,paper_1m_20260629_qpsl_seed4,396,1.0,13.0,13,0.03282828282828283,0.7263957922465198,0.7272727272727273,0.3537907557620201,0.0
13,longitudinal,4,paper_1m_20260629_qpsl_seed4,446,1.0,20.0,20,0.04484304932735426,0.6944270338253558,0.6928251121076233,0.34091849614134695,0.0
14,longitudinal,4,paper_1m_20260629_qpsl_seed4,259,1.0,12.0,12,0.04633204633204633,0.5770278271869171,0.5752895752895753,0.2691597913798218,0.0
15,longitudinal,4,paper_1m_20260629_qpsl_seed4,261,0.0,17.0,17,0.06513409961685823,0.3169049868118056,0.3103448275862069,0.14135247608825166,0.0
16,longitudinal,4,paper_1m_20260629_qpsl_seed4,251,1.0,0.0,0,0.0,0.45017228256931086,0.4541832669322709,0.20898775338562597,0.0
17,longitudinal,4,paper_1m_20260629_qpsl_seed4,402,1.0,17.0,17,0.04228855721393035,0.7054301966841258,0.6840796019900498,0.33124977964629876,0.0
18,longitudinal,4,paper_1m_20260629_qpsl_seed4,342,1.0,1.0,1,0.0029239766081871343,0.31709829251207644,0.30701754385964913,0.14133269513537836,0.0
19,longitudinal,4,paper_1m_20260629_qpsl_seed4,422,1.0,6.0,6,0.014218009478672985,0.7177436556127003,0.7203791469194313,0.3411647563080758,0.0
