episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,1,paper_1m_20260629_qpsl_seed1,263,1.0,14.0,14,0.053231939163498096,0.2942171354100819,0.2965779467680608,0.1297269660055269,0.0
1,longitudinal,1,paper_1m_20260629_qpsl_seed1,273,1.0,28.0,28,0.10256410256410256,0.4070527129525189,0.40293040293040294,0.1754821551581606,0.0
2,longitudinal,1,paper_1m_20260629_qpsl_seed1,190,0.0,8.0,8,0.042105263157894736,0.14642819037412338,0.14210526315789473,0.07148464445612933,0.0
3,longitudinal,1,paper_1m_20260629_qpsl_seed1,351,1.0,9.0,9,0.02564102564102564,0.7908353169382177,0.7948717948717948,0.3771360066258004,0.0
4,longitudinal,1,paper_1m_20260629_qpsl_seed1,521,1.0,23.0,23,0.044145873320537425,0.7443970217207896,0.7543186180422264,0.36219086369518333,0.0
5,longitudinal,1,paper_1m_20260629_qpsl_seed1,186,0.0,2.0,2,0.010752688172043012,0.12300386215497582,0.11827956989247312,0.05958738440387352,0.0
6,longitudinal,1,paper_1m_20260629_qpsl_seed1,256,1.0,7.0,7,0.02734375,0.3117664044060498,0.30859375,0.14310073618435126,0.0
7,longitudinal,1,paper_1m_20260629_qpsl_seed1,241,1.0,0.0,0,0.0,0.2263659703021904,0.21991701244813278,0.09880743805643681,0.0
8,longitudinal,1,paper_1m_20260629_qpsl_seed1,265,1.0,0.0,0,0.0,0.48805065762541633,0.4867924528301887,0.22876932024955748,0.0
9,longitudinal,1,paper_1m_20260629_qpsl_seed1,328,1.0,21.0,21,0.06402439024390244,0.6491303272592422,0.649390243902439,0.31710205519310675,0.0
10,longitudinal,1,paper_1m_20260629_qpsl_seed1,262,1.0,0.0,0,0.0,0.5114983708607578,0.5114503816793893,0.23919718421085645,0.0
11,longitudinal,1,paper_1m_20260629_qpsl_seed1,393,1.0,8.0,8,0.020356234096692113,0.4630307300380963,0.4529262086513995,0.22466750292382356,0.0
12,longitudinal,1,paper_1m_20260629_qpsl_seed1,264,1.0,0.0,0,0.0,0.47086025384705854,0.4696969696969697,0.2192002354987022,0.0
13,longitudinal,1,paper_1m_20260629_qpsl_seed1,237,1.0,5.0,5,0.02109704641350211,0.28589524920791093,0.270042194092827,0.12104833324121524,0.0
14,longitudinal,1,paper_1m_20260629_qpsl_seed1,261,1.0,12.0,12,0.04597701149425287,0.2608039208067625,0.25287356321839083,0.11047002488311908,0.0
15,longitudinal,1,paper_1m_20260629_qpsl_seed1,283,1.0,14.0,14,0.04946996466431095,0.49418072946245917,0.4911660777385159,0.22107916576096742,0.0
16,longitudinal,1,paper_1m_20260629_qpsl_seed1,262,1.0,13.0,13,0.04961832061068702,0.2745528454622544,0.26717557251908397,0.1202036367013041,0.0
17,longitudinal,1,paper_1m_20260629_qpsl_seed1,270,1.0,11.0,11,0.040740740740740744,0.6121020689241516,0.6111111111111112,0.2786052129412484,0.0
18,longitudinal,1,paper_1m_20260629_qpsl_seed1,205,1.0,2.0,2,0.00975609756097561,0.45451111190720583,0.4585365853658537,0.21892736923040412,0.0
19,longitudinal,1,paper_1m_20260629_qpsl_seed1,239,1.0,0.0,0,0.0,0.30247108486923896,0.29707112970711297,0.14135189535228776,0.0
