episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,4,paper_1m_20260629_qpsl_seed4,461,1.0,0.0,0,0.0,0.6127092246757505,0.6095444685466378,0.3969921191604788,0.0
1,longitudinal,4,paper_1m_20260629_qpsl_seed4,222,1.0,3.0,3,0.013513513513513514,0.5378236594220859,0.5315315315315315,0.36134307944794763,0.0
2,longitudinal,4,paper_1m_20260629_qpsl_seed4,457,1.0,4.0,4,0.0087527352297593,0.7114929303128871,0.7067833698030634,0.4860428115490547,0.0
3,longitudinal,4,paper_1m_20260629_qpsl_seed4,306,1.0,5.0,5,0.016339869281045753,0.5024839849989742,0.5,0.32634037077804307,0.0
4,longitudinal,4,paper_1m_20260629_qpsl_seed4,273,1.0,8.0,8,0.029304029304029304,0.5590797482596783,0.5604395604395604,0.3762461617435482,0.0
5,longitudinal,4,paper_1m_20260629_qpsl_seed4,267,1.0,9.0,9,0.033707865168539325,0.5766051782651832,0.5767790262172284,0.3931484531353085,0.0
6,longitudinal,4,paper_1m_20260629_qpsl_seed4,686,1.0,44.0,44,0.0641399416909621,0.5572537836345832,0.5539358600583091,0.2875092941914677,0.0
7,longitudinal,4,paper_1m_20260629_qpsl_seed4,344,1.0,0.0,0,0.0,0.2885783090460137,0.28488372093023256,0.19284012252573185,0.0
8,longitudinal,4,paper_1m_20260629_qpsl_seed4,353,1.0,15.0,15,0.042492917847025496,0.7700523146316467,0.7705382436260623,0.5373095058731829,0.0
9,longitudinal,4,paper_1m_20260629_qpsl_seed4,222,1.0,1.0,1,0.0045045045045045045,0.538251392710439,0.536036036036036,0.3611718931524838,0.0
10,longitudinal,4,paper_1m_20260629_qpsl_seed4,340,0.0,15.0,15,0.04411764705882353,0.3411478707980945,0.3382352941176471,0.20230072617654085,0.0
11,longitudinal,4,paper_1m_20260629_qpsl_seed4,217,1.0,6.0,6,0.027649769585253458,0.2511386871395782,0.2488479262672811,0.15813271215288527,0.0
12,longitudinal,4,paper_1m_20260629_qpsl_seed4,345,1.0,0.0,0,0.0,0.31158711336179107,0.30144927536231886,0.20804697426400431,0.0
13,longitudinal,4,paper_1m_20260629_qpsl_seed4,411,1.0,5.0,5,0.012165450121654502,0.7621858886094848,0.7688564476885644,0.5360746441670714,0.0
14,longitudinal,4,paper_1m_20260629_qpsl_seed4,317,1.0,0.0,0,0.0,0.5270713155466,0.526813880126183,0.36158456529669863,0.0
15,longitudinal,4,paper_1m_20260629_qpsl_seed4,343,1.0,0.0,0,0.0,0.29469718287670155,0.2915451895043732,0.20132826548612762,0.0
16,longitudinal,4,paper_1m_20260629_qpsl_seed4,511,1.0,8.0,8,0.015655577299412915,0.78019723115776,0.7808219178082192,0.5531619921321625,0.0
17,longitudinal,4,paper_1m_20260629_qpsl_seed4,244,1.0,11.0,11,0.045081967213114756,0.3956872088335749,0.38524590163934425,0.26172082563747695,0.0
18,longitudinal,4,paper_1m_20260629_qpsl_seed4,1000,0.0,9.0,9,0.009,0.9134949457329627,0.915,0.430009235620033,0.0
19,longitudinal,4,paper_1m_20260629_qpsl_seed4,251,1.0,0.0,0,0.0,0.33078749975485505,0.32270916334661354,0.21769668238953616,0.0
