episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,1,paper_1m_20260629_qpsl_seed1,328,1.0,16.0,16,0.04878048780487805,0.5397600158433177,0.5335365853658537,0.36149548541689225,0.0
1,longitudinal,1,paper_1m_20260629_qpsl_seed1,307,1.0,15.0,15,0.048859934853420196,0.7315844562743741,0.7361563517915309,0.5016682985806019,0.0
2,longitudinal,1,paper_1m_20260629_qpsl_seed1,566,1.0,15.0,15,0.026501766784452298,0.7388466122818754,0.7367491166077739,0.5199880169549473,0.0
3,longitudinal,1,paper_1m_20260629_qpsl_seed1,460,1.0,17.0,17,0.03695652173913044,0.6518638039510181,0.65,0.446853855545835,0.0
4,longitudinal,1,paper_1m_20260629_qpsl_seed1,250,1.0,0.0,0,0.0,0.2154196355183847,0.208,0.13086326079070568,0.0
5,longitudinal,1,paper_1m_20260629_qpsl_seed1,351,1.0,6.0,6,0.017094017094017096,0.5508165506854708,0.5441595441595442,0.3441515379343872,0.0
6,longitudinal,1,paper_1m_20260629_qpsl_seed1,272,0.0,20.0,20,0.07352941176470588,0.3586228201378992,0.35661764705882354,0.24136460155440384,0.0
7,longitudinal,1,paper_1m_20260629_qpsl_seed1,502,1.0,10.0,10,0.0199203187250996,0.6794821316166164,0.6892430278884463,0.47897564565235995,0.0
8,longitudinal,1,paper_1m_20260629_qpsl_seed1,465,1.0,18.0,18,0.03870967741935484,0.5181253923123462,0.5204301075268817,0.346508375357496,0.0
9,longitudinal,1,paper_1m_20260629_qpsl_seed1,254,1.0,1.0,1,0.003937007874015748,0.18334584587191521,0.18110236220472442,0.11052264436148107,0.0
10,longitudinal,1,paper_1m_20260629_qpsl_seed1,240,1.0,1.0,1,0.004166666666666667,0.10938127395327484,0.0875,0.05549169480800629,0.0
11,longitudinal,1,paper_1m_20260629_qpsl_seed1,361,1.0,38.0,38,0.10526315789473684,0.7527837892073022,0.7590027700831025,0.5182990407202924,0.0
12,longitudinal,1,paper_1m_20260629_qpsl_seed1,264,1.0,0.0,0,0.0,0.23546357032266282,0.22348484848484848,0.12329413404398964,0.0
13,longitudinal,1,paper_1m_20260629_qpsl_seed1,422,1.0,16.0,16,0.037914691943127965,0.7001708883633206,0.7274881516587678,0.47697451576740607,0.0
14,longitudinal,1,paper_1m_20260629_qpsl_seed1,429,1.0,17.0,17,0.039627039627039624,0.6342016786944561,0.6293706293706294,0.3728880105498909,0.0
15,longitudinal,1,paper_1m_20260629_qpsl_seed1,241,1.0,1.0,1,0.004149377593360996,0.09793892017943366,0.08713692946058091,0.05515824660226023,0.0
16,longitudinal,1,paper_1m_20260629_qpsl_seed1,239,1.0,1.0,1,0.0041841004184100415,0.1011756117719003,0.08786610878661087,0.05479543665462957,0.0
17,longitudinal,1,paper_1m_20260629_qpsl_seed1,181,1.0,1.0,1,0.0055248618784530384,0.03906793769319946,0.022099447513812154,0.009991884066913669,0.0
18,longitudinal,1,paper_1m_20260629_qpsl_seed1,325,1.0,4.0,4,0.012307692307692308,0.35515289793727306,0.3569230769230769,0.2314817850291729,0.0
19,longitudinal,1,paper_1m_20260629_qpsl_seed1,348,1.0,12.0,12,0.034482758620689655,0.6378209448445012,0.646551724137931,0.4256970449357465,0.0
