episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,4,paper_1m_20260629_qpsl_seed4,207,1.0,1.0,1,0.004830917874396135,0.5141075038382251,0.5217391304347826,0.2956926249831483,0.0
1,longitudinal,4,paper_1m_20260629_qpsl_seed4,343,1.0,2.0,2,0.0058309037900874635,0.30782489576312333,0.30612244897959184,0.17026435309354454,0.0
2,longitudinal,4,paper_1m_20260629_qpsl_seed4,440,1.0,13.0,13,0.029545454545454545,0.5792682476206794,0.5840909090909091,0.3532817832522348,0.0
3,longitudinal,4,paper_1m_20260629_qpsl_seed4,428,1.0,10.0,10,0.02336448598130841,0.5048891912138935,0.5046728971962616,0.2986611066831909,0.0
4,longitudinal,4,paper_1m_20260629_qpsl_seed4,344,1.0,1.0,1,0.0029069767441860465,0.3109042411639324,0.311046511627907,0.17376235125621586,0.0
5,longitudinal,4,paper_1m_20260629_qpsl_seed4,351,1.0,10.0,10,0.02849002849002849,0.8030683126674744,0.811965811965812,0.47789218090474606,0.0
6,longitudinal,4,paper_1m_20260629_qpsl_seed4,328,1.0,10.0,10,0.03048780487804878,0.7849434725463448,0.7835365853658537,0.46503731708630436,0.0
7,longitudinal,4,paper_1m_20260629_qpsl_seed4,401,1.0,19.0,19,0.04738154613466334,0.4182566637055591,0.42144638403990026,0.24505079062969107,0.0
8,longitudinal,4,paper_1m_20260629_qpsl_seed4,439,1.0,8.0,8,0.018223234624145785,0.6223970568839411,0.6264236902050114,0.34632565095996304,0.0
9,longitudinal,4,paper_1m_20260629_qpsl_seed4,540,1.0,14.0,14,0.025925925925925925,0.6120525526225806,0.6074074074074074,0.34646853812543366,0.0
10,longitudinal,4,paper_1m_20260629_qpsl_seed4,303,1.0,5.0,5,0.0165016501650165,0.5185956556511592,0.5148514851485149,0.28899131185867327,0.0
11,longitudinal,4,paper_1m_20260629_qpsl_seed4,264,1.0,5.0,5,0.01893939393939394,0.5403886610688478,0.5378787878787878,0.311289768920026,0.0
12,longitudinal,4,paper_1m_20260629_qpsl_seed4,267,1.0,3.0,3,0.011235955056179775,0.5449026640261319,0.5430711610486891,0.3139450675371881,0.0
13,longitudinal,4,paper_1m_20260629_qpsl_seed4,255,1.0,4.0,4,0.01568627450980392,0.3873320851186812,0.39215686274509803,0.22042370732045075,0.0
14,longitudinal,4,paper_1m_20260629_qpsl_seed4,455,1.0,12.0,12,0.026373626373626374,0.6487620607935507,0.6527472527472528,0.3817295065773958,0.0
15,longitudinal,4,paper_1m_20260629_qpsl_seed4,431,1.0,15.0,15,0.03480278422273782,0.7262345020376801,0.7378190255220418,0.43517061214021074,0.0
16,longitudinal,4,paper_1m_20260629_qpsl_seed4,257,1.0,8.0,8,0.0311284046692607,0.4689611040592074,0.4669260700389105,0.25831248451401173,0.0
17,longitudinal,4,paper_1m_20260629_qpsl_seed4,291,1.0,13.0,13,0.044673539518900345,0.5663693072848947,0.5670103092783505,0.321950219902834,0.0
18,longitudinal,4,paper_1m_20260629_qpsl_seed4,148,0.0,2.0,2,0.013513513513513514,0.7523989048282094,0.7567567567567568,0.4533789147547371,0.0
19,longitudinal,4,paper_1m_20260629_qpsl_seed4,258,1.0,15.0,15,0.05813953488372093,0.5233109467217857,0.5232558139534884,0.29987325914954954,0.0
