episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,0,paper_1m_20260629_qpsl_seed0,238,1.0,7.0,7,0.029411764705882353,0.4125215515717936,0.4117647058823529,0.23299165545892314,0.0
1,longitudinal,0,paper_1m_20260629_qpsl_seed0,274,1.0,5.0,5,0.01824817518248175,0.44449151529519554,0.4416058394160584,0.27058914343717705,0.0
2,longitudinal,0,paper_1m_20260629_qpsl_seed0,103,0.0,1.0,1,0.009708737864077669,0.002477242177686501,0.0,0.0,0.0
3,longitudinal,0,paper_1m_20260629_qpsl_seed0,237,1.0,0.0,0,0.0,0.2129806369579273,0.19831223628691982,0.1152820146410777,0.0
4,longitudinal,0,paper_1m_20260629_qpsl_seed0,358,1.0,4.0,4,0.0111731843575419,0.5518565005414453,0.5502793296089385,0.28216802552160314,0.0
5,longitudinal,0,paper_1m_20260629_qpsl_seed0,235,1.0,7.0,7,0.029787234042553193,0.5635432855267608,0.5787234042553191,0.33790243080163257,0.0
6,longitudinal,0,paper_1m_20260629_qpsl_seed0,344,1.0,4.0,4,0.011627906976744186,0.7858786793499977,0.7877906976744186,0.47878666948608317,0.0
7,longitudinal,0,paper_1m_20260629_qpsl_seed0,437,1.0,14.0,14,0.032036613272311214,0.6941173791176504,0.700228832951945,0.4032394452781355,0.0
8,longitudinal,0,paper_1m_20260629_qpsl_seed0,464,1.0,20.0,20,0.04310344827586207,0.6542241431047537,0.6637931034482759,0.3912358700161286,0.0
9,longitudinal,0,paper_1m_20260629_qpsl_seed0,218,1.0,3.0,3,0.013761467889908258,0.24548670072743584,0.24770642201834864,0.14228759762412363,0.0
10,longitudinal,0,paper_1m_20260629_qpsl_seed0,122,0.0,7.0,7,0.05737704918032787,0.33501876433778865,0.3442622950819672,0.18005827341045513,0.0
11,longitudinal,0,paper_1m_20260629_qpsl_seed0,252,1.0,6.0,6,0.023809523809523808,0.3090375340075796,0.30158730158730157,0.16519983662551063,0.0
12,longitudinal,0,paper_1m_20260629_qpsl_seed0,268,1.0,1.0,1,0.0037313432835820895,0.430030296007762,0.4291044776119403,0.26329075250515727,0.0
13,longitudinal,0,paper_1m_20260629_qpsl_seed0,238,0.0,11.0,11,0.046218487394957986,0.2893040512858651,0.2857142857142857,0.15544055833896042,0.0
14,longitudinal,0,paper_1m_20260629_qpsl_seed0,278,1.0,7.0,7,0.025179856115107913,0.31904242276572187,0.3129496402877698,0.1735158479980213,0.0
15,longitudinal,0,paper_1m_20260629_qpsl_seed0,355,1.0,2.0,2,0.005633802816901409,0.2872291246320717,0.30140845070422534,0.16815098434896536,0.0
16,longitudinal,0,paper_1m_20260629_qpsl_seed0,305,1.0,21.0,21,0.06885245901639345,0.39408025164174537,0.3901639344262295,0.20412542061788624,0.0
17,longitudinal,0,paper_1m_20260629_qpsl_seed0,237,1.0,13.0,13,0.05485232067510549,0.42556788999912876,0.4177215189873418,0.23495768293549743,0.0
18,longitudinal,0,paper_1m_20260629_qpsl_seed0,270,1.0,6.0,6,0.022222222222222223,0.31153215223721353,0.3111111111111111,0.17410842295977527,0.0
19,longitudinal,0,paper_1m_20260629_qpsl_seed0,248,1.0,7.0,7,0.028225806451612902,0.34246229311343773,0.3467741935483871,0.20050751993004534,0.0
