episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,3,paper_1m_20260629_qpsl_seed3,593,1.0,24.0,24,0.04047217537942664,0.7921611329864575,0.7959527824620574,0.5638285396796531,0.0
1,longitudinal,3,paper_1m_20260629_qpsl_seed3,337,1.0,1.0,1,0.002967359050445104,0.17966833547290928,0.17210682492581603,0.10424098564803777,0.0
2,longitudinal,3,paper_1m_20260629_qpsl_seed3,174,1.0,1.0,1,0.005747126436781609,0.07346603605393395,0.06321839080459771,0.040620995150215326,0.0
3,longitudinal,3,paper_1m_20260629_qpsl_seed3,434,1.0,7.0,7,0.016129032258064516,0.33444467675173006,0.33640552995391704,0.23447660601822323,0.0
4,longitudinal,3,paper_1m_20260629_qpsl_seed3,1000,0.0,40.0,40,0.04,0.8208621521689139,0.828,0.4151045655310154,0.0
5,longitudinal,3,paper_1m_20260629_qpsl_seed3,239,1.0,20.0,20,0.08368200836820083,0.43725999707538316,0.4393305439330544,0.2891456837294366,0.0
6,longitudinal,3,paper_1m_20260629_qpsl_seed3,562,1.0,40.0,40,0.0711743772241993,0.7543681611864185,0.7615658362989324,0.49459233391519764,0.0
7,longitudinal,3,paper_1m_20260629_qpsl_seed3,89,0.0,3.0,3,0.033707865168539325,0.005654837841346782,0.0,0.0,0.0
8,longitudinal,3,paper_1m_20260629_qpsl_seed3,352,1.0,13.0,13,0.036931818181818184,0.16546673919814664,0.16193181818181818,0.10179727667392316,0.0
9,longitudinal,3,paper_1m_20260629_qpsl_seed3,435,0.0,12.0,12,0.027586206896551724,0.6643230116949425,0.671264367816092,0.4679152795338425,0.0
10,longitudinal,3,paper_1m_20260629_qpsl_seed3,801,1.0,20.0,20,0.024968789013732832,0.8283320747878914,0.83270911360799,0.5923484642914358,0.0
11,longitudinal,3,paper_1m_20260629_qpsl_seed3,89,0.0,3.0,3,0.033707865168539325,0.005653297907231188,0.0,0.0,0.0
12,longitudinal,3,paper_1m_20260629_qpsl_seed3,507,1.0,16.0,16,0.03155818540433925,0.7493570015510155,0.7534516765285996,0.5311056108634618,0.0
13,longitudinal,3,paper_1m_20260629_qpsl_seed3,384,1.0,11.0,11,0.028645833333333332,0.31511068166260386,0.3151041666666667,0.21595296485854001,0.0
14,longitudinal,3,paper_1m_20260629_qpsl_seed3,234,1.0,11.0,11,0.04700854700854701,0.463163484491515,0.4658119658119658,0.3049548843031765,0.0
15,longitudinal,3,paper_1m_20260629_qpsl_seed3,451,1.0,9.0,9,0.019955654101995565,0.6165726782679899,0.6164079822616408,0.4272589661106632,0.0
16,longitudinal,3,paper_1m_20260629_qpsl_seed3,419,1.0,8.0,8,0.01909307875894988,0.5765011763360096,0.5751789976133651,0.39564341539628184,0.0
17,longitudinal,3,paper_1m_20260629_qpsl_seed3,286,1.0,12.0,12,0.04195804195804196,0.5342142646716961,0.534965034965035,0.36343717726168934,0.0
18,longitudinal,3,paper_1m_20260629_qpsl_seed3,347,1.0,8.0,8,0.023054755043227664,0.5198587296555006,0.521613832853026,0.36704673141412847,0.0
19,longitudinal,3,paper_1m_20260629_qpsl_seed3,354,1.0,8.0,8,0.022598870056497175,0.5809775473773771,0.5819209039548022,0.39404887003603123,0.0
