episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,0,paper_1m_20260629_qpsl_seed0,644,1.0,8.0,8,0.012422360248447204,0.7169082495719734,0.7080745341614907,0.455680919626022,0.0
1,longitudinal,0,paper_1m_20260629_qpsl_seed0,394,0.0,18.0,18,0.04568527918781726,0.576784861715354,0.565989847715736,0.37260010011723443,0.0
2,longitudinal,0,paper_1m_20260629_qpsl_seed0,310,1.0,0.0,0,0.0,0.6022451507057308,0.6064516129032258,0.4230412859740036,0.0
3,longitudinal,0,paper_1m_20260629_qpsl_seed0,269,1.0,24.0,24,0.08921933085501858,0.7106882535635295,0.724907063197026,0.5076921253072809,0.0
4,longitudinal,0,paper_1m_20260629_qpsl_seed0,306,1.0,6.0,6,0.0196078431372549,0.4746279169485432,0.477124183006536,0.31473538693302355,0.0
5,longitudinal,0,paper_1m_20260629_qpsl_seed0,506,1.0,15.0,15,0.029644268774703556,0.5788936398604835,0.5770750988142292,0.40008749890512985,0.0
6,longitudinal,0,paper_1m_20260629_qpsl_seed0,250,1.0,26.0,26,0.104,0.5828782537401901,0.58,0.4077502255346626,0.0
7,longitudinal,0,paper_1m_20260629_qpsl_seed0,503,1.0,18.0,18,0.03578528827037773,0.6964301735774946,0.7037773359840954,0.47521876978084343,0.0
8,longitudinal,0,paper_1m_20260629_qpsl_seed0,423,1.0,14.0,14,0.03309692671394799,0.6415294558645189,0.6453900709219859,0.40377028980380447,0.0
9,longitudinal,0,paper_1m_20260629_qpsl_seed0,386,1.0,7.0,7,0.018134715025906734,0.6381477865418489,0.6321243523316062,0.39517652454250374,0.0
10,longitudinal,0,paper_1m_20260629_qpsl_seed0,103,0.0,1.0,1,0.009708737864077669,0.004496273160941186,0.0,0.0,0.0
11,longitudinal,0,paper_1m_20260629_qpsl_seed0,370,1.0,9.0,9,0.024324324324324326,0.8232985590465282,0.8324324324324325,0.5871771217827257,0.0
12,longitudinal,0,paper_1m_20260629_qpsl_seed0,386,0.0,16.0,16,0.04145077720207254,0.6377292181005453,0.6450777202072538,0.43241601147076086,0.0
13,longitudinal,0,paper_1m_20260629_qpsl_seed0,395,1.0,7.0,7,0.017721518987341773,0.5523780895772779,0.5468354430379747,0.3540531696067958,0.0
14,longitudinal,0,paper_1m_20260629_qpsl_seed0,311,1.0,23.0,23,0.07395498392282958,0.20516444242980117,0.19614147909967847,0.12124541575475402,0.0
15,longitudinal,0,paper_1m_20260629_qpsl_seed0,1000,0.0,21.0,21,0.021,0.19971523799257315,0.193,0.10711852793954313,0.0
16,longitudinal,0,paper_1m_20260629_qpsl_seed0,264,1.0,5.0,5,0.01893939393939394,0.18551485913990165,0.1856060606060606,0.12013665380690133,0.0
17,longitudinal,0,paper_1m_20260629_qpsl_seed0,298,0.0,4.0,4,0.013422818791946308,0.692377884456375,0.7013422818791947,0.4729125174575004,0.0
18,longitudinal,0,paper_1m_20260629_qpsl_seed0,237,1.0,0.0,0,0.0,0.21582051484248302,0.19831223628691982,0.13231438328904976,0.0
19,longitudinal,0,paper_1m_20260629_qpsl_seed0,307,1.0,2.0,2,0.006514657980456026,0.4680915733929484,0.4723127035830619,0.30504052612721216,0.0
