episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,0,paper_1m_20260629_qpsl_seed0,103,0.0,1.0,1,0.009708737864077669,0.008177715769411087,0.0,0.0,0.0
1,longitudinal,0,paper_1m_20260629_qpsl_seed0,397,1.0,23.0,23,0.05793450881612091,0.6930498169404032,0.6952141057934509,0.3159963647100103,0.0
2,longitudinal,0,paper_1m_20260629_qpsl_seed0,232,1.0,0.0,0,0.0,0.40640604159059734,0.40948275862068967,0.19225407616588577,0.0
3,longitudinal,0,paper_1m_20260629_qpsl_seed0,402,1.0,9.0,9,0.022388059701492536,0.47511735032811053,0.48258706467661694,0.23659855418314982,0.0
4,longitudinal,0,paper_1m_20260629_qpsl_seed0,121,0.0,1.0,1,0.008264462809917356,0.008162571153159883,0.0,0.0,0.0
5,longitudinal,0,paper_1m_20260629_qpsl_seed0,246,1.0,23.0,23,0.09349593495934959,0.5857185786129631,0.5894308943089431,0.27310128448856613,0.0
6,longitudinal,0,paper_1m_20260629_qpsl_seed0,235,1.0,13.0,13,0.05531914893617021,0.5570368378172006,0.5659574468085107,0.26278235253790005,0.0
7,longitudinal,0,paper_1m_20260629_qpsl_seed0,260,1.0,9.0,9,0.03461538461538462,0.47437976119234154,0.4576923076923077,0.23966393763056168,0.0
8,longitudinal,0,paper_1m_20260629_qpsl_seed0,121,0.0,1.0,1,0.008264462809917356,0.008162571153159883,0.0,0.0,0.0
9,longitudinal,0,paper_1m_20260629_qpsl_seed0,456,1.0,18.0,18,0.039473684210526314,0.6605185740550676,0.6622807017543859,0.3265600478253123,0.0
10,longitudinal,0,paper_1m_20260629_qpsl_seed0,468,1.0,14.0,14,0.029914529914529916,0.6606456345551034,0.6794871794871795,0.3221445733633561,0.0
11,longitudinal,0,paper_1m_20260629_qpsl_seed0,390,0.0,14.0,14,0.035897435897435895,0.6470503900656284,0.6461538461538462,0.2851361059416563,0.0
12,longitudinal,0,paper_1m_20260629_qpsl_seed0,390,1.0,5.0,5,0.01282051282051282,0.4548165355384175,0.45384615384615384,0.23160944782579557,0.0
13,longitudinal,0,paper_1m_20260629_qpsl_seed0,266,0.0,2.0,2,0.007518796992481203,0.49585587815853105,0.48120300751879697,0.22786619477814302,0.0
14,longitudinal,0,paper_1m_20260629_qpsl_seed0,342,1.0,34.0,34,0.09941520467836257,0.6177038726446425,0.6169590643274854,0.30061565903805154,0.0
15,longitudinal,0,paper_1m_20260629_qpsl_seed0,260,1.0,8.0,8,0.03076923076923077,0.5668203243920708,0.5576923076923077,0.2703996656117782,0.0
16,longitudinal,0,paper_1m_20260629_qpsl_seed0,176,1.0,4.0,4,0.022727272727272728,0.1998136117754337,0.19886363636363635,0.09544448067688129,0.0
17,longitudinal,0,paper_1m_20260629_qpsl_seed0,458,1.0,29.0,29,0.06331877729257641,0.6930795022807497,0.6965065502183406,0.3565861261083732,0.0
18,longitudinal,0,paper_1m_20260629_qpsl_seed0,274,1.0,9.0,9,0.032846715328467155,0.49182018345634443,0.4927007299270073,0.24351495888804758,0.0
19,longitudinal,0,paper_1m_20260629_qpsl_seed0,259,1.0,7.0,7,0.02702702702702703,0.47210573264390204,0.4555984555984556,0.23836540791806568,0.0
