episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,2,paper_1m_20260629_qpsl_seed2,340,1.0,9.0,9,0.026470588235294117,0.6045596871407526,0.611764705882353,0.3530716173008413,0.0
1,longitudinal,2,paper_1m_20260629_qpsl_seed2,343,1.0,4.0,4,0.011661807580174927,0.12684474957046507,0.119533527696793,0.05953604824645526,0.0
2,longitudinal,2,paper_1m_20260629_qpsl_seed2,251,1.0,1.0,1,0.00398406374501992,0.12031607930213803,0.11155378486055777,0.05326914353355528,0.0
3,longitudinal,2,paper_1m_20260629_qpsl_seed2,277,1.0,15.0,15,0.05415162454873646,0.3014159191431677,0.2888086642599278,0.15640520509534148,0.0
4,longitudinal,2,paper_1m_20260629_qpsl_seed2,171,0.0,3.0,3,0.017543859649122806,0.20057932394126235,0.19883040935672514,0.10371587055119855,0.0
5,longitudinal,2,paper_1m_20260629_qpsl_seed2,231,0.0,6.0,6,0.025974025974025976,0.21580555470212145,0.21212121212121213,0.13271608845496075,0.0
6,longitudinal,2,paper_1m_20260629_qpsl_seed2,275,1.0,11.0,11,0.04,0.36083051189246546,0.36363636363636365,0.2086218047785488,0.0
7,longitudinal,2,paper_1m_20260629_qpsl_seed2,490,1.0,12.0,12,0.024489795918367346,0.5802397765620144,0.5877551020408164,0.34056768148985445,0.0
8,longitudinal,2,paper_1m_20260629_qpsl_seed2,328,1.0,6.0,6,0.018292682926829267,0.485696531885777,0.5030487804878049,0.2861650202014461,0.0
9,longitudinal,2,paper_1m_20260629_qpsl_seed2,267,1.0,0.0,0,0.0,0.24029257826802813,0.24344569288389514,0.11837299642491429,0.0
10,longitudinal,2,paper_1m_20260629_qpsl_seed2,348,1.0,27.0,27,0.07758620689655173,0.6051739640214934,0.6149425287356322,0.3574046525654608,0.0
11,longitudinal,2,paper_1m_20260629_qpsl_seed2,465,1.0,9.0,9,0.01935483870967742,0.813391106127444,0.8193548387096774,0.4982199739664793,0.0
12,longitudinal,2,paper_1m_20260629_qpsl_seed2,345,1.0,2.0,2,0.005797101449275362,0.13157408845749388,0.12173913043478261,0.061834489780923596,0.0
13,longitudinal,2,paper_1m_20260629_qpsl_seed2,437,1.0,15.0,15,0.034324942791762014,0.5694940249167653,0.5652173913043478,0.32309888267316333,0.0
14,longitudinal,2,paper_1m_20260629_qpsl_seed2,177,1.0,0.0,0,0.0,0.12588258636565786,0.12994350282485875,0.06852028295818695,0.0
15,longitudinal,2,paper_1m_20260629_qpsl_seed2,267,1.0,15.0,15,0.056179775280898875,0.31041969852085743,0.2958801498127341,0.1698499458261211,0.0
16,longitudinal,2,paper_1m_20260629_qpsl_seed2,682,1.0,39.0,39,0.05718475073313783,0.7366339623398003,0.7595307917888563,0.4314563170388133,0.0
17,longitudinal,2,paper_1m_20260629_qpsl_seed2,722,1.0,28.0,28,0.038781163434903045,0.7556154981940423,0.7548476454293629,0.4431116042463667,0.0
18,longitudinal,2,paper_1m_20260629_qpsl_seed2,322,1.0,3.0,3,0.009316770186335404,0.3883479862400193,0.38509316770186336,0.22995291226789333,0.0
19,longitudinal,2,paper_1m_20260629_qpsl_seed2,292,1.0,20.0,20,0.0684931506849315,0.49631187699720786,0.5,0.2768625523607974,0.0
