episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,1,paper_1m_20260629_qpsl_seed1,186,0.0,3.0,3,0.016129032258064516,0.09766804110059299,0.08602150537634409,0.04898302485385249,0.0
1,longitudinal,1,paper_1m_20260629_qpsl_seed1,319,1.0,17.0,17,0.05329153605015674,0.7872121427202197,0.7931034482758621,0.45850529229607095,0.0
2,longitudinal,1,paper_1m_20260629_qpsl_seed1,284,1.0,15.0,15,0.0528169014084507,0.5961112565006298,0.6056338028169014,0.34224199429547913,0.0
3,longitudinal,1,paper_1m_20260629_qpsl_seed1,386,1.0,20.0,20,0.05181347150259067,0.7606600051455823,0.7512953367875648,0.4436215912860285,0.0
4,longitudinal,1,paper_1m_20260629_qpsl_seed1,185,0.0,2.0,2,0.010810810810810811,0.09907218311892547,0.0972972972972973,0.05341071264969336,0.0
5,longitudinal,1,paper_1m_20260629_qpsl_seed1,372,0.0,12.0,12,0.03225806451612903,0.819115894971877,0.8225806451612904,0.4893917186721909,0.0
6,longitudinal,1,paper_1m_20260629_qpsl_seed1,142,0.0,9.0,9,0.06338028169014084,0.4384307102278137,0.44366197183098594,0.26514410592195853,0.0
7,longitudinal,1,paper_1m_20260629_qpsl_seed1,265,1.0,12.0,12,0.045283018867924525,0.2380171511945886,0.24150943396226415,0.12902896790853086,0.0
8,longitudinal,1,paper_1m_20260629_qpsl_seed1,342,1.0,7.0,7,0.02046783625730994,0.5406060201651747,0.5321637426900585,0.2918296222035822,0.0
9,longitudinal,1,paper_1m_20260629_qpsl_seed1,310,1.0,4.0,4,0.012903225806451613,0.3720922670656705,0.36129032258064514,0.19148977183766902,0.0
10,longitudinal,1,paper_1m_20260629_qpsl_seed1,324,1.0,17.0,17,0.05246913580246913,0.6704755841276271,0.6697530864197531,0.38986595773517535,0.0
11,longitudinal,1,paper_1m_20260629_qpsl_seed1,419,0.0,23.0,23,0.05489260143198091,0.8459374296601918,0.8448687350835322,0.5092537380979443,0.0
12,longitudinal,1,paper_1m_20260629_qpsl_seed1,574,0.0,39.0,39,0.06794425087108014,0.7168262418489789,0.7142857142857143,0.41559269424294243,0.0
13,longitudinal,1,paper_1m_20260629_qpsl_seed1,257,1.0,6.0,6,0.023346303501945526,0.24501833405998089,0.24124513618677043,0.1283618999275484,0.0
14,longitudinal,1,paper_1m_20260629_qpsl_seed1,295,1.0,28.0,28,0.09491525423728814,0.723392922437675,0.7288135593220338,0.4250388837861434,0.0
15,longitudinal,1,paper_1m_20260629_qpsl_seed1,272,1.0,2.0,2,0.007352941176470588,0.4118566110779078,0.40808823529411764,0.23239556120140203,0.0
16,longitudinal,1,paper_1m_20260629_qpsl_seed1,224,1.0,2.0,2,0.008928571428571428,0.448010678767977,0.44642857142857145,0.25329260677036863,0.0
17,longitudinal,1,paper_1m_20260629_qpsl_seed1,383,1.0,16.0,16,0.04177545691906005,0.6128260598964503,0.6057441253263708,0.33067470973031715,0.0
18,longitudinal,1,paper_1m_20260629_qpsl_seed1,186,0.0,3.0,3,0.016129032258064516,0.09750195977889947,0.08602150537634409,0.048899092701494055,0.0
19,longitudinal,1,paper_1m_20260629_qpsl_seed1,412,1.0,21.0,21,0.050970873786407765,0.8030072180811421,0.8252427184466019,0.4829217955488169,0.0
