episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,3,paper_1m_20260629_qpsl_seed3,89,0.0,3.0,3,0.033707865168539325,0.0099444814429556,0.0,0.0,0.0
1,longitudinal,3,paper_1m_20260629_qpsl_seed3,462,1.0,8.0,8,0.017316017316017316,0.6967768312771871,0.7012987012987013,0.4884347028463869,0.0
2,longitudinal,3,paper_1m_20260629_qpsl_seed3,337,1.0,8.0,8,0.02373887240356083,0.6153126207653534,0.6201780415430267,0.4206959238428616,0.0
3,longitudinal,3,paper_1m_20260629_qpsl_seed3,417,1.0,18.0,18,0.04316546762589928,0.645086519651173,0.645083932853717,0.45111522243226426,0.0
4,longitudinal,3,paper_1m_20260629_qpsl_seed3,507,1.0,7.0,7,0.013806706114398421,0.8070182390095609,0.8106508875739645,0.575598064751256,0.0
5,longitudinal,3,paper_1m_20260629_qpsl_seed3,89,0.0,3.0,3,0.033707865168539325,0.009943961795645627,0.0,0.0,0.0
6,longitudinal,3,paper_1m_20260629_qpsl_seed3,505,1.0,35.0,35,0.06930693069306931,0.8087661876564273,0.7960396039603961,0.5531596035392272,0.0
7,longitudinal,3,paper_1m_20260629_qpsl_seed3,358,1.0,25.0,25,0.06983240223463687,0.6600603960404129,0.664804469273743,0.4621809361985099,0.0
8,longitudinal,3,paper_1m_20260629_qpsl_seed3,359,1.0,4.0,4,0.011142061281337047,0.5034210751658869,0.5041782729805014,0.35877516546123206,0.0
9,longitudinal,3,paper_1m_20260629_qpsl_seed3,367,1.0,2.0,2,0.005449591280653951,0.2727919535023233,0.26975476839237056,0.17838494138023245,0.0
10,longitudinal,3,paper_1m_20260629_qpsl_seed3,462,1.0,30.0,30,0.06493506493506493,0.6786992143814009,0.6774891774891775,0.46560477967337743,0.0
11,longitudinal,3,paper_1m_20260629_qpsl_seed3,416,1.0,16.0,16,0.038461538461538464,0.6228814044770654,0.6274038461538461,0.42595876729599413,0.0
12,longitudinal,3,paper_1m_20260629_qpsl_seed3,365,1.0,8.0,8,0.021917808219178082,0.508543213304493,0.5095890410958904,0.35829458648517526,0.0
13,longitudinal,3,paper_1m_20260629_qpsl_seed3,275,1.0,4.0,4,0.014545454545454545,0.3461801711488576,0.3418181818181818,0.22628098872574892,0.0
14,longitudinal,3,paper_1m_20260629_qpsl_seed3,260,1.0,4.0,4,0.015384615384615385,0.30210297827563304,0.29615384615384616,0.1888389826994031,0.0
15,longitudinal,3,paper_1m_20260629_qpsl_seed3,299,1.0,8.0,8,0.026755852842809364,0.4000142800953872,0.39464882943143814,0.2684740771104023,0.0
16,longitudinal,3,paper_1m_20260629_qpsl_seed3,226,1.0,9.0,9,0.03982300884955752,0.4624902679727828,0.46017699115044247,0.32444700540200005,0.0
17,longitudinal,3,paper_1m_20260629_qpsl_seed3,341,1.0,6.0,6,0.017595307917888565,0.2490093869826937,0.2434017595307918,0.1650948177822019,0.0
18,longitudinal,3,paper_1m_20260629_qpsl_seed3,233,1.0,4.0,4,0.017167381974248927,0.45251299685487373,0.44635193133047213,0.30651775865052133,0.0
19,longitudinal,3,paper_1m_20260629_qpsl_seed3,292,1.0,12.0,12,0.0410958904109589,0.6112870786948489,0.6061643835616438,0.4240026130079458,0.0
