episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,2,paper_1m_20260629_qpsl_seed2,413,1.0,10.0,10,0.024213075060532687,0.8599992379206762,0.8619854721549637,0.42512571386379566,0.0
1,longitudinal,2,paper_1m_20260629_qpsl_seed2,310,1.0,19.0,19,0.06129032258064516,0.36738710314338086,0.36451612903225805,0.17293771892906196,0.0
2,longitudinal,2,paper_1m_20260629_qpsl_seed2,251,1.0,1.0,1,0.00398406374501992,0.12313228090772334,0.11553784860557768,0.04639003721188264,0.0
3,longitudinal,2,paper_1m_20260629_qpsl_seed2,314,1.0,5.0,5,0.01592356687898089,0.4533926009464977,0.45222929936305734,0.22189468459469402,0.0
4,longitudinal,2,paper_1m_20260629_qpsl_seed2,257,1.0,3.0,3,0.011673151750972763,0.3125697305151156,0.30739299610894943,0.1431517240288758,0.0
5,longitudinal,2,paper_1m_20260629_qpsl_seed2,471,1.0,19.0,19,0.040339702760084924,0.681076751508933,0.6772823779193206,0.30330561299169645,0.0
6,longitudinal,2,paper_1m_20260629_qpsl_seed2,257,1.0,9.0,9,0.03501945525291829,0.3005575458719546,0.29571984435797666,0.13331093410834496,0.0
7,longitudinal,2,paper_1m_20260629_qpsl_seed2,242,1.0,7.0,7,0.028925619834710745,0.4157891769424151,0.4214876033057851,0.18903510273272586,0.0
8,longitudinal,2,paper_1m_20260629_qpsl_seed2,270,0.0,10.0,10,0.037037037037037035,0.1633752828706733,0.15555555555555556,0.06384832075348607,0.0
9,longitudinal,2,paper_1m_20260629_qpsl_seed2,250,0.0,23.0,23,0.092,0.3230502887631999,0.316,0.14819535186886787,0.0
10,longitudinal,2,paper_1m_20260629_qpsl_seed2,904,1.0,29.0,29,0.032079646017699116,0.765284853260534,0.7643805309734514,0.37717300463729,0.0
11,longitudinal,2,paper_1m_20260629_qpsl_seed2,317,1.0,5.0,5,0.015772870662460567,0.37186724537696336,0.38485804416403785,0.1729026096094435,0.0
12,longitudinal,2,paper_1m_20260629_qpsl_seed2,299,0.0,17.0,17,0.056856187290969896,0.7651322539063313,0.7625418060200669,0.385790229827963,0.0
13,longitudinal,2,paper_1m_20260629_qpsl_seed2,249,1.0,7.0,7,0.028112449799196786,0.25011758263998424,0.23293172690763053,0.08672170763756766,0.0
14,longitudinal,2,paper_1m_20260629_qpsl_seed2,388,1.0,8.0,8,0.020618556701030927,0.21620030002867632,0.2036082474226804,0.10036388150963586,0.0
15,longitudinal,2,paper_1m_20260629_qpsl_seed2,272,1.0,6.0,6,0.022058823529411766,0.33745629930234133,0.3235294117647059,0.1463005374158349,0.0
16,longitudinal,2,paper_1m_20260629_qpsl_seed2,476,1.0,21.0,21,0.04411764705882353,0.5572294361266736,0.5567226890756303,0.2716010510557069,0.0
17,longitudinal,2,paper_1m_20260629_qpsl_seed2,253,1.0,4.0,4,0.015810276679841896,0.2515505710034002,0.26877470355731226,0.11021701314232567,0.0
18,longitudinal,2,paper_1m_20260629_qpsl_seed2,259,1.0,0.0,0,0.0,0.2847963373617387,0.28185328185328185,0.1218984029309745,0.0
19,longitudinal,2,paper_1m_20260629_qpsl_seed2,268,1.0,9.0,9,0.033582089552238806,0.37058995483176854,0.376865671641791,0.1777720469173475,0.0
