episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,1,paper_1m_20260629_qpsl_seed1,278,1.0,4.0,4,0.014388489208633094,0.6318231581057624,0.6330935251798561,0.4435440968226293,0.0
1,longitudinal,1,paper_1m_20260629_qpsl_seed1,193,0.0,8.0,8,0.04145077720207254,0.14685921577537403,0.14507772020725387,0.1036604713899484,0.0
2,longitudinal,1,paper_1m_20260629_qpsl_seed1,252,1.0,0.0,0,0.0,0.17779270841225317,0.15476190476190477,0.09004933443216104,0.0
3,longitudinal,1,paper_1m_20260629_qpsl_seed1,599,1.0,30.0,30,0.05008347245409015,0.8445338629076128,0.8447412353923205,0.601355631920495,0.0
4,longitudinal,1,paper_1m_20260629_qpsl_seed1,186,0.0,2.0,2,0.010752688172043012,0.11480593191547116,0.11290322580645161,0.079343702203484,0.0
5,longitudinal,1,paper_1m_20260629_qpsl_seed1,253,1.0,0.0,0,0.0,0.23888663278351965,0.22924901185770752,0.13973593205331342,0.0
6,longitudinal,1,paper_1m_20260629_qpsl_seed1,443,1.0,43.0,43,0.09706546275395034,0.6446568153406126,0.6478555304740407,0.43551280116820057,0.0
7,longitudinal,1,paper_1m_20260629_qpsl_seed1,774,1.0,33.0,33,0.04263565891472868,0.8564887332327568,0.8540051679586563,0.6095987362215579,0.0
8,longitudinal,1,paper_1m_20260629_qpsl_seed1,715,1.0,14.0,14,0.019580419580419582,0.8273540588820313,0.827972027972028,0.5880214895948872,0.0
9,longitudinal,1,paper_1m_20260629_qpsl_seed1,305,1.0,5.0,5,0.01639344262295082,0.5083554918197453,0.4885245901639344,0.33055209300526583,0.0
10,longitudinal,1,paper_1m_20260629_qpsl_seed1,361,1.0,11.0,11,0.030470914127423823,0.8218840150151966,0.8310249307479224,0.580537550720848,0.0
11,longitudinal,1,paper_1m_20260629_qpsl_seed1,463,1.0,23.0,23,0.04967602591792657,0.6510562304475798,0.6457883369330454,0.46480266400713466,0.0
12,longitudinal,1,paper_1m_20260629_qpsl_seed1,310,1.0,8.0,8,0.025806451612903226,0.40413835398409015,0.4129032258064516,0.26254141685222426,0.0
13,longitudinal,1,paper_1m_20260629_qpsl_seed1,436,1.0,7.0,7,0.016055045871559634,0.516997689044732,0.5137614678899083,0.3514446474039295,0.0
14,longitudinal,1,paper_1m_20260629_qpsl_seed1,309,1.0,16.0,16,0.05177993527508091,0.691630396394229,0.6925566343042071,0.4751056787041001,0.0
15,longitudinal,1,paper_1m_20260629_qpsl_seed1,281,1.0,14.0,14,0.0498220640569395,0.45209340935629433,0.4555160142348754,0.2897050854711863,0.0
16,longitudinal,1,paper_1m_20260629_qpsl_seed1,491,1.0,32.0,32,0.06517311608961303,0.6792682980851779,0.6741344195519349,0.48306003374819567,0.0
17,longitudinal,1,paper_1m_20260629_qpsl_seed1,396,1.0,11.0,11,0.027777777777777776,0.8013525210248755,0.803030303030303,0.5761828439432488,0.0
18,longitudinal,1,paper_1m_20260629_qpsl_seed1,264,1.0,12.0,12,0.045454545454545456,0.4193678919429295,0.4053030303030303,0.2650649506514045,0.0
19,longitudinal,1,paper_1m_20260629_qpsl_seed1,532,1.0,19.0,19,0.03571428571428571,0.7482208671125546,0.7556390977443609,0.5318448182652333,0.0
