episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,0,paper_1m_20260629_qpsl_seed0,388,1.0,37.0,37,0.09536082474226804,0.7406729852391005,0.7396907216494846,0.43926540062794,0.0
1,longitudinal,0,paper_1m_20260629_qpsl_seed0,306,1.0,15.0,15,0.049019607843137254,0.7019116383082381,0.6993464052287581,0.4293173049212117,0.0
2,longitudinal,0,paper_1m_20260629_qpsl_seed0,284,1.0,4.0,4,0.014084507042253521,0.30190937554353386,0.29577464788732394,0.178864211372008,0.0
3,longitudinal,0,paper_1m_20260629_qpsl_seed0,432,1.0,11.0,11,0.02546296296296296,0.7825604073140349,0.7847222222222222,0.43823488708262126,0.0
4,longitudinal,0,paper_1m_20260629_qpsl_seed0,373,0.0,12.0,12,0.032171581769437,0.8954789125466517,0.8981233243967829,0.5266040023846986,0.0
5,longitudinal,0,paper_1m_20260629_qpsl_seed0,284,1.0,26.0,26,0.09154929577464789,0.5933050271615038,0.5985915492957746,0.3374419025273364,0.0
6,longitudinal,0,paper_1m_20260629_qpsl_seed0,336,1.0,21.0,21,0.0625,0.7414151090877061,0.7410714285714286,0.44984075580612715,0.0
7,longitudinal,0,paper_1m_20260629_qpsl_seed0,471,1.0,15.0,15,0.03184713375796178,0.724294785681417,0.7282377919320594,0.4510902865817513,0.0
8,longitudinal,0,paper_1m_20260629_qpsl_seed0,218,1.0,3.0,3,0.013761467889908258,0.2804358673245012,0.27522935779816515,0.1651871564516097,0.0
9,longitudinal,0,paper_1m_20260629_qpsl_seed0,257,0.0,33.0,33,0.12840466926070038,0.6773186687111972,0.669260700389105,0.39942197028388077,0.0
10,longitudinal,0,paper_1m_20260629_qpsl_seed0,462,1.0,14.0,14,0.030303030303030304,0.7198959233180692,0.7251082251082251,0.43171822568814944,0.0
11,longitudinal,0,paper_1m_20260629_qpsl_seed0,339,1.0,14.0,14,0.04129793510324484,0.7288605660342607,0.7404129793510325,0.4380334039310757,0.0
12,longitudinal,0,paper_1m_20260629_qpsl_seed0,293,1.0,16.0,16,0.05460750853242321,0.5373220807791397,0.5290102389078498,0.30780769997902546,0.0
13,longitudinal,0,paper_1m_20260629_qpsl_seed0,271,1.0,2.0,2,0.007380073800738007,0.5241542963375718,0.5313653136531366,0.3067511629246217,0.0
14,longitudinal,0,paper_1m_20260629_qpsl_seed0,238,1.0,0.0,0,0.0,0.32780230626209705,0.3235294117647059,0.18150628129599475,0.0
15,longitudinal,0,paper_1m_20260629_qpsl_seed0,103,0.0,1.0,1,0.009708737864077669,0.0045225044117272436,0.0,0.0,0.0
16,longitudinal,0,paper_1m_20260629_qpsl_seed0,283,1.0,2.0,2,0.007067137809187279,0.6033283773443555,0.5971731448763251,0.3593253484390702,0.0
17,longitudinal,0,paper_1m_20260629_qpsl_seed0,300,1.0,18.0,18,0.06,0.7811935115644191,0.7866666666666666,0.4581332029099576,0.0
18,longitudinal,0,paper_1m_20260629_qpsl_seed0,238,1.0,0.0,0,0.0,0.37192898369379923,0.36554621848739494,0.20480591051687463,0.0
19,longitudinal,0,paper_1m_20260629_qpsl_seed0,400,1.0,33.0,33,0.0825,0.5864057992282803,0.58,0.31117159482615536,0.0
