episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,baseline,2,paper_1m_20260629_qpsl_seed2,260,1.0,6.0,6,0.023076923076923078,0.0,0.0,0.0,0.0
1,baseline,2,paper_1m_20260629_qpsl_seed2,269,1.0,29.0,29,0.10780669144981413,0.0,0.0,0.0,0.0
2,baseline,2,paper_1m_20260629_qpsl_seed2,283,1.0,13.0,13,0.045936395759717315,0.0,0.0,0.0,0.0
3,baseline,2,paper_1m_20260629_qpsl_seed2,211,1.0,2.0,2,0.009478672985781991,0.0,0.0,0.0,0.0
4,baseline,2,paper_1m_20260629_qpsl_seed2,270,1.0,9.0,9,0.03333333333333333,0.0,0.0,0.0,0.0
5,baseline,2,paper_1m_20260629_qpsl_seed2,232,1.0,11.0,11,0.04741379310344827,0.0,0.0,0.0,0.0
6,baseline,2,paper_1m_20260629_qpsl_seed2,143,0.0,1.0,1,0.006993006993006993,0.0,0.0,0.0,0.0
7,baseline,2,paper_1m_20260629_qpsl_seed2,226,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
8,baseline,2,paper_1m_20260629_qpsl_seed2,266,1.0,12.0,12,0.045112781954887216,0.0,0.0,0.0,0.0
9,baseline,2,paper_1m_20260629_qpsl_seed2,233,1.0,12.0,12,0.05150214592274678,0.0,0.0,0.0,0.0
10,baseline,2,paper_1m_20260629_qpsl_seed2,397,1.0,45.0,45,0.11335012594458438,0.0,0.0,0.0,0.0
11,baseline,2,paper_1m_20260629_qpsl_seed2,295,1.0,11.0,11,0.03728813559322034,0.0,0.0,0.0,0.0
12,baseline,2,paper_1m_20260629_qpsl_seed2,340,1.0,41.0,41,0.12058823529411765,0.0,0.0,0.0,0.0
13,baseline,2,paper_1m_20260629_qpsl_seed2,254,1.0,13.0,13,0.051181102362204724,0.0,0.0,0.0,0.0
14,baseline,2,paper_1m_20260629_qpsl_seed2,330,1.0,8.0,8,0.024242424242424242,0.0,0.0,0.0,0.0
15,baseline,2,paper_1m_20260629_qpsl_seed2,251,1.0,14.0,14,0.055776892430278883,0.0,0.0,0.0,0.0
16,baseline,2,paper_1m_20260629_qpsl_seed2,303,1.0,7.0,7,0.0231023102310231,0.0,0.0,0.0,0.0
17,baseline,2,paper_1m_20260629_qpsl_seed2,476,1.0,22.0,22,0.046218487394957986,0.0,0.0,0.0,0.0
18,baseline,2,paper_1m_20260629_qpsl_seed2,132,0.0,10.0,10,0.07575757575757576,0.0,0.0,0.0,0.0
19,baseline,2,paper_1m_20260629_qpsl_seed2,306,1.0,23.0,23,0.07516339869281045,0.0,0.0,0.0,0.0
