episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,2,paper_1m_20260629_qpsl_seed2,210,0.0,2.0,2,0.009523809523809525,0.2721729879910056,0.2571428571428571,0.12762731455621265,0.0
1,longitudinal,2,paper_1m_20260629_qpsl_seed2,257,1.0,1.0,1,0.0038910505836575876,0.10785462502025192,0.09727626459143969,0.040232061817952164,0.0
2,longitudinal,2,paper_1m_20260629_qpsl_seed2,236,1.0,12.0,12,0.05084745762711865,0.4748366537486234,0.4745762711864407,0.23368032976306216,0.0
3,longitudinal,2,paper_1m_20260629_qpsl_seed2,332,1.0,13.0,13,0.0391566265060241,0.8081088347785589,0.8132530120481928,0.4110269517724049,0.0
4,longitudinal,2,paper_1m_20260629_qpsl_seed2,270,0.0,1.0,1,0.003703703703703704,0.13604602720037917,0.12962962962962962,0.05113046965734274,0.0
5,longitudinal,2,paper_1m_20260629_qpsl_seed2,230,0.0,5.0,5,0.021739130434782608,0.21080179034572813,0.20434782608695654,0.10742785917676013,0.0
6,longitudinal,2,paper_1m_20260629_qpsl_seed2,396,1.0,13.0,13,0.03282828282828283,0.6225227911321963,0.6262626262626263,0.30180265630049763,0.0
7,longitudinal,2,paper_1m_20260629_qpsl_seed2,248,0.0,5.0,5,0.020161290322580645,0.2788276065395823,0.2782258064516129,0.14872183939141612,0.0
8,longitudinal,2,paper_1m_20260629_qpsl_seed2,248,1.0,1.0,1,0.004032258064516129,0.26363676665795127,0.2620967741935484,0.12131367139180281,0.0
9,longitudinal,2,paper_1m_20260629_qpsl_seed2,304,1.0,15.0,15,0.049342105263157895,0.6671002610667562,0.6677631578947368,0.3380258992148906,0.0
10,longitudinal,2,paper_1m_20260629_qpsl_seed2,261,1.0,15.0,15,0.05747126436781609,0.385410397307568,0.38697318007662834,0.1745101058359661,0.0
11,longitudinal,2,paper_1m_20260629_qpsl_seed2,277,1.0,4.0,4,0.01444043321299639,0.3655734788753379,0.36462093862815886,0.18099161063317573,0.0
12,longitudinal,2,paper_1m_20260629_qpsl_seed2,258,1.0,2.0,2,0.007751937984496124,0.1188748399886553,0.12015503875968993,0.05021643185222796,0.0
13,longitudinal,2,paper_1m_20260629_qpsl_seed2,529,1.0,15.0,15,0.02835538752362949,0.67295027430107,0.6767485822306238,0.22333957640267557,0.0
14,longitudinal,2,paper_1m_20260629_qpsl_seed2,274,1.0,7.0,7,0.025547445255474453,0.4580460372040041,0.4562043795620438,0.2241362116986165,0.0
15,longitudinal,2,paper_1m_20260629_qpsl_seed2,251,1.0,1.0,1,0.00398406374501992,0.19403305581702138,0.18725099601593626,0.0808401115060565,0.0
16,longitudinal,2,paper_1m_20260629_qpsl_seed2,247,0.0,15.0,15,0.06072874493927125,0.6012951195574046,0.6234817813765182,0.28922709277058056,0.0
17,longitudinal,2,paper_1m_20260629_qpsl_seed2,250,1.0,9.0,9,0.036,0.36511073784087505,0.368,0.17741188257932664,0.0
18,longitudinal,2,paper_1m_20260629_qpsl_seed2,243,1.0,3.0,3,0.012345679012345678,0.21891449131524193,0.20164609053497942,0.08851556152243305,0.0
19,longitudinal,2,paper_1m_20260629_qpsl_seed2,247,0.0,6.0,6,0.024291497975708502,0.4796161302846192,0.48582995951417,0.2425862414883035,0.0
