episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,2,paper_1m_20260629_qpsl_seed2,269,1.0,0.0,0,0.0,0.3988371674345127,0.3940520446096654,0.23210388230900783,0.0
1,longitudinal,2,paper_1m_20260629_qpsl_seed2,351,1.0,13.0,13,0.037037037037037035,0.7197610635275837,0.717948717948718,0.43355357592092614,0.0
2,longitudinal,2,paper_1m_20260629_qpsl_seed2,174,0.0,2.0,2,0.011494252873563218,0.30845258227167927,0.3103448275862069,0.1897220922441318,0.0
3,longitudinal,2,paper_1m_20260629_qpsl_seed2,243,1.0,8.0,8,0.03292181069958848,0.432251888684773,0.42386831275720166,0.23987792410079098,0.0
4,longitudinal,2,paper_1m_20260629_qpsl_seed2,236,1.0,3.0,3,0.012711864406779662,0.4244220547084258,0.4194915254237288,0.21702903320310415,0.0
5,longitudinal,2,paper_1m_20260629_qpsl_seed2,245,1.0,2.0,2,0.00816326530612245,0.31457263563519255,0.2938775510204082,0.15976161044471118,0.0
6,longitudinal,2,paper_1m_20260629_qpsl_seed2,509,1.0,17.0,17,0.03339882121807466,0.8595392787286985,0.862475442043222,0.5404271113911318,0.0
7,longitudinal,2,paper_1m_20260629_qpsl_seed2,314,1.0,5.0,5,0.01592356687898089,0.4765905903296512,0.4713375796178344,0.29229798749872266,0.0
8,longitudinal,2,paper_1m_20260629_qpsl_seed2,352,1.0,5.0,5,0.014204545454545454,0.6242858483995822,0.6193181818181818,0.35860249361774715,0.0
9,longitudinal,2,paper_1m_20260629_qpsl_seed2,387,1.0,3.0,3,0.007751937984496124,0.6371956902900644,0.6434108527131783,0.3812533356538115,0.0
10,longitudinal,2,paper_1m_20260629_qpsl_seed2,238,0.0,4.0,4,0.01680672268907563,0.2602300113401941,0.25630252100840334,0.16277374915716028,0.0
11,longitudinal,2,paper_1m_20260629_qpsl_seed2,413,1.0,5.0,5,0.012106537530266344,0.6899892369148606,0.6900726392251816,0.41690947044388216,0.0
12,longitudinal,2,paper_1m_20260629_qpsl_seed2,288,1.0,14.0,14,0.04861111111111111,0.4650623453904675,0.4583333333333333,0.2702589428954525,0.0
13,longitudinal,2,paper_1m_20260629_qpsl_seed2,176,1.0,0.0,0,0.0,0.17868495677290774,0.17613636363636365,0.10603737314655022,0.0
14,longitudinal,2,paper_1m_20260629_qpsl_seed2,247,0.0,4.0,4,0.016194331983805668,0.2902103579188786,0.2874493927125506,0.18453779913153243,0.0
15,longitudinal,2,paper_1m_20260629_qpsl_seed2,356,1.0,16.0,16,0.0449438202247191,0.6598584678502039,0.6601123595505618,0.38325209640296115,0.0
16,longitudinal,2,paper_1m_20260629_qpsl_seed2,694,1.0,28.0,28,0.040345821325648415,0.850884611950555,0.8515850144092219,0.4355970405636661,0.0
17,longitudinal,2,paper_1m_20260629_qpsl_seed2,272,1.0,1.0,1,0.003676470588235294,0.5210323390142801,0.5220588235294118,0.31669320086674657,0.0
18,longitudinal,2,paper_1m_20260629_qpsl_seed2,177,0.0,2.0,2,0.011299435028248588,0.2706878537384153,0.2655367231638418,0.15763642053819646,0.0
19,longitudinal,2,paper_1m_20260629_qpsl_seed2,479,1.0,14.0,14,0.029227557411273485,0.6861288964399445,0.6889352818371608,0.39889864079870035,0.0
