episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,4,paper_1m_20260629_qpsl_seed4,290,1.0,6.0,6,0.020689655172413793,0.15322865967325372,0.14482758620689656,0.059551906152146644,0.0
1,longitudinal,4,paper_1m_20260629_qpsl_seed4,289,0.0,20.0,20,0.06920415224913495,0.5973797577744645,0.5951557093425606,0.2951526044768033,0.0
2,longitudinal,4,paper_1m_20260629_qpsl_seed4,259,1.0,4.0,4,0.015444015444015444,0.6058572096446341,0.61003861003861,0.28851917208600286,0.0
3,longitudinal,4,paper_1m_20260629_qpsl_seed4,234,1.0,5.0,5,0.021367521367521368,0.38491412196712177,0.3888888888888889,0.1814303552914952,0.0
4,longitudinal,4,paper_1m_20260629_qpsl_seed4,374,1.0,24.0,24,0.06417112299465241,0.44817477673430084,0.446524064171123,0.21817905352299008,0.0
5,longitudinal,4,paper_1m_20260629_qpsl_seed4,327,1.0,6.0,6,0.01834862385321101,0.4626680054225955,0.4617737003058104,0.2148112450051335,0.0
6,longitudinal,4,paper_1m_20260629_qpsl_seed4,297,1.0,1.0,1,0.003367003367003367,0.5702014686518622,0.569023569023569,0.28774478580012464,0.0
7,longitudinal,4,paper_1m_20260629_qpsl_seed4,291,1.0,8.0,8,0.027491408934707903,0.5133317329575476,0.5120274914089347,0.22575459946459,0.0
8,longitudinal,4,paper_1m_20260629_qpsl_seed4,342,1.0,4.0,4,0.011695906432748537,0.2510817439622005,0.25146198830409355,0.10727326105497179,0.0
9,longitudinal,4,paper_1m_20260629_qpsl_seed4,272,1.0,25.0,25,0.09191176470588236,0.6802268127907803,0.6875,0.3101066315558616,0.0
10,longitudinal,4,paper_1m_20260629_qpsl_seed4,293,1.0,21.0,21,0.07167235494880546,0.5253175931529237,0.5221843003412969,0.2420439949170162,0.0
11,longitudinal,4,paper_1m_20260629_qpsl_seed4,377,1.0,19.0,19,0.050397877984084884,0.6288965706532034,0.6206896551724138,0.2976876995019832,0.0
12,longitudinal,4,paper_1m_20260629_qpsl_seed4,237,1.0,10.0,10,0.04219409282700422,0.38269382725016377,0.3755274261603376,0.18392646685537375,0.0
13,longitudinal,4,paper_1m_20260629_qpsl_seed4,470,1.0,27.0,27,0.0574468085106383,0.7985812815919727,0.8021276595744681,0.3833920158961035,0.0
14,longitudinal,4,paper_1m_20260629_qpsl_seed4,203,1.0,3.0,3,0.014778325123152709,0.16708000732388442,0.15270935960591134,0.06481392465054696,0.0
15,longitudinal,4,paper_1m_20260629_qpsl_seed4,283,1.0,3.0,3,0.01060070671378092,0.19994130168033372,0.19434628975265017,0.08227607747704423,0.0
16,longitudinal,4,paper_1m_20260629_qpsl_seed4,235,1.0,0.0,0,0.0,0.3701231851002855,0.3659574468085106,0.1767161443908798,0.0
17,longitudinal,4,paper_1m_20260629_qpsl_seed4,298,1.0,8.0,8,0.026845637583892617,0.45936873277074913,0.4463087248322148,0.19807058665276372,0.0
18,longitudinal,4,paper_1m_20260629_qpsl_seed4,309,1.0,4.0,4,0.012944983818770227,0.5348116299768485,0.5307443365695793,0.25277014471240894,0.0
19,longitudinal,4,paper_1m_20260629_qpsl_seed4,466,1.0,9.0,9,0.019313304721030045,0.4435633666242505,0.4356223175965665,0.16439916586749206,0.0
