episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,baseline,4,paper_1m_20260629_qpsl_seed4,286,1.0,33.0,33,0.11538461538461539,0.0,0.0,0.0,0.0
1,baseline,4,paper_1m_20260629_qpsl_seed4,274,1.0,4.0,4,0.014598540145985401,0.0,0.0,0.0,0.0
2,baseline,4,paper_1m_20260629_qpsl_seed4,283,0.0,18.0,18,0.0636042402826855,0.0,0.0,0.0,0.0
3,baseline,4,paper_1m_20260629_qpsl_seed4,260,1.0,17.0,17,0.06538461538461539,0.0,0.0,0.0,0.0
4,baseline,4,paper_1m_20260629_qpsl_seed4,282,1.0,15.0,15,0.05319148936170213,0.0,0.0,0.0,0.0
5,baseline,4,paper_1m_20260629_qpsl_seed4,290,1.0,25.0,25,0.08620689655172414,0.0,0.0,0.0,0.0
6,baseline,4,paper_1m_20260629_qpsl_seed4,376,1.0,10.0,10,0.026595744680851064,0.0,0.0,0.0,0.0
7,baseline,4,paper_1m_20260629_qpsl_seed4,260,1.0,27.0,27,0.10384615384615385,0.0,0.0,0.0,0.0
8,baseline,4,paper_1m_20260629_qpsl_seed4,238,1.0,14.0,14,0.058823529411764705,0.0,0.0,0.0,0.0
9,baseline,4,paper_1m_20260629_qpsl_seed4,268,1.0,23.0,23,0.08582089552238806,0.0,0.0,0.0,0.0
10,baseline,4,paper_1m_20260629_qpsl_seed4,284,1.0,13.0,13,0.045774647887323945,0.0,0.0,0.0,0.0
11,baseline,4,paper_1m_20260629_qpsl_seed4,242,1.0,8.0,8,0.03305785123966942,0.0,0.0,0.0,0.0
12,baseline,4,paper_1m_20260629_qpsl_seed4,331,1.0,23.0,23,0.06948640483383686,0.0,0.0,0.0,0.0
13,baseline,4,paper_1m_20260629_qpsl_seed4,260,1.0,16.0,16,0.06153846153846154,0.0,0.0,0.0,0.0
14,baseline,4,paper_1m_20260629_qpsl_seed4,281,1.0,17.0,17,0.060498220640569395,0.0,0.0,0.0,0.0
15,baseline,4,paper_1m_20260629_qpsl_seed4,275,1.0,10.0,10,0.03636363636363636,0.0,0.0,0.0,0.0
16,baseline,4,paper_1m_20260629_qpsl_seed4,257,1.0,15.0,15,0.058365758754863814,0.0,0.0,0.0,0.0
17,baseline,4,paper_1m_20260629_qpsl_seed4,288,1.0,49.0,49,0.1701388888888889,0.0,0.0,0.0,0.0
18,baseline,4,paper_1m_20260629_qpsl_seed4,377,1.0,10.0,10,0.026525198938992044,0.0,0.0,0.0,0.0
19,baseline,4,paper_1m_20260629_qpsl_seed4,296,1.0,8.0,8,0.02702702702702703,0.0,0.0,0.0,0.0
