episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,longitudinal,3,paper_1m_20260629_qpsl_seed3,322,1.0,1.0,1,0.003105590062111801,0.593885243225033,0.593167701863354,0.4241003167615937,0.0
1,longitudinal,3,paper_1m_20260629_qpsl_seed3,358,1.0,5.0,5,0.013966480446927373,0.3200399691156528,0.3240223463687151,0.21626324267529845,0.0
2,longitudinal,3,paper_1m_20260629_qpsl_seed3,306,1.0,3.0,3,0.00980392156862745,0.5184672714513269,0.5326797385620915,0.3539702688508174,0.0
3,longitudinal,3,paper_1m_20260629_qpsl_seed3,352,1.0,11.0,11,0.03125,0.5639088965358799,0.5539772727272727,0.38703537243286107,0.0
4,longitudinal,3,paper_1m_20260629_qpsl_seed3,418,1.0,6.0,6,0.014354066985645933,0.827887921818794,0.8277511961722488,0.5956582413882164,0.0
5,longitudinal,3,paper_1m_20260629_qpsl_seed3,484,1.0,18.0,18,0.0371900826446281,0.7340109732174491,0.7355371900826446,0.5181806415116438,0.0
6,longitudinal,3,paper_1m_20260629_qpsl_seed3,271,1.0,11.0,11,0.04059040590405904,0.39121809955658116,0.3837638376383764,0.2522309806259741,0.0
7,longitudinal,3,paper_1m_20260629_qpsl_seed3,640,1.0,16.0,16,0.025,0.8249327142814948,0.8265625,0.5915017269948294,0.0
8,longitudinal,3,paper_1m_20260629_qpsl_seed3,257,1.0,5.0,5,0.019455252918287938,0.4663627600052321,0.4669260700389105,0.30715153896492625,0.0
9,longitudinal,3,paper_1m_20260629_qpsl_seed3,599,1.0,28.0,28,0.04674457429048414,0.8543992640980675,0.8580968280467446,0.6125252654193706,0.0
10,longitudinal,3,paper_1m_20260629_qpsl_seed3,405,1.0,5.0,5,0.012345679012345678,0.8648130989644032,0.8641975308641975,0.6197529485414701,0.0
11,longitudinal,3,paper_1m_20260629_qpsl_seed3,308,1.0,4.0,4,0.012987012987012988,0.5252113436432285,0.5194805194805194,0.34858583029128637,0.0
12,longitudinal,3,paper_1m_20260629_qpsl_seed3,260,1.0,10.0,10,0.038461538461538464,0.5244478670930327,0.5230769230769231,0.3551571513651512,0.0
13,longitudinal,3,paper_1m_20260629_qpsl_seed3,417,1.0,17.0,17,0.0407673860911271,0.5329749467380925,0.5299760191846523,0.3699072335223607,0.0
14,longitudinal,3,paper_1m_20260629_qpsl_seed3,277,1.0,15.0,15,0.05415162454873646,0.6260597977231335,0.631768953068592,0.43688189892252965,0.0
15,longitudinal,3,paper_1m_20260629_qpsl_seed3,444,1.0,10.0,10,0.02252252252252252,0.8548087013571083,0.8558558558558559,0.6060983683226466,0.0
16,longitudinal,3,paper_1m_20260629_qpsl_seed3,766,1.0,31.0,31,0.04046997389033943,0.8134038462825988,0.8185378590078329,0.5817965494349733,0.0
17,longitudinal,3,paper_1m_20260629_qpsl_seed3,397,1.0,7.0,7,0.017632241813602016,0.8635411201138061,0.8639798488664987,0.6204700044852445,0.0
18,longitudinal,3,paper_1m_20260629_qpsl_seed3,488,1.0,29.0,29,0.05942622950819672,0.5947940236485562,0.6024590163934426,0.4149985887059182,0.0
19,longitudinal,3,paper_1m_20260629_qpsl_seed3,300,1.0,6.0,6,0.02,0.5037526686786614,0.51,0.35155636350042185,0.0
