episode,variant,seed,model_tag,steps,arrive_dest,EpCost,cost_events,CostRate,mean_pain,trigger_rate,mean_longitudinal_delta,steering_limit_rate
0,baseline,1,paper_1m_20260629_qpsl_seed1,283,1.0,23.0,23,0.0812720848056537,0.0,0.0,0.0,0.0
1,baseline,1,paper_1m_20260629_qpsl_seed1,318,1.0,25.0,25,0.07861635220125786,0.0,0.0,0.0,0.0
2,baseline,1,paper_1m_20260629_qpsl_seed1,246,1.0,2.0,2,0.008130081300813009,0.0,0.0,0.0,0.0
3,baseline,1,paper_1m_20260629_qpsl_seed1,426,1.0,53.0,53,0.12441314553990611,0.0,0.0,0.0,0.0
4,baseline,1,paper_1m_20260629_qpsl_seed1,327,1.0,3.0,3,0.009174311926605505,0.0,0.0,0.0,0.0
5,baseline,1,paper_1m_20260629_qpsl_seed1,538,1.0,49.0,49,0.09107806691449814,0.0,0.0,0.0,0.0
6,baseline,1,paper_1m_20260629_qpsl_seed1,357,1.0,27.0,27,0.07563025210084033,0.0,0.0,0.0,0.0
7,baseline,1,paper_1m_20260629_qpsl_seed1,117,0.0,15.0,15,0.1282051282051282,0.0,0.0,0.0,0.0
8,baseline,1,paper_1m_20260629_qpsl_seed1,335,1.0,32.0,32,0.0955223880597015,0.0,0.0,0.0,0.0
9,baseline,1,paper_1m_20260629_qpsl_seed1,332,1.0,9.0,9,0.02710843373493976,0.0,0.0,0.0,0.0
10,baseline,1,paper_1m_20260629_qpsl_seed1,259,1.0,43.0,43,0.16602316602316602,0.0,0.0,0.0,0.0
11,baseline,1,paper_1m_20260629_qpsl_seed1,259,1.0,1.0,1,0.003861003861003861,0.0,0.0,0.0,0.0
12,baseline,1,paper_1m_20260629_qpsl_seed1,185,1.0,1.0,1,0.005405405405405406,0.0,0.0,0.0,0.0
13,baseline,1,paper_1m_20260629_qpsl_seed1,300,1.0,23.0,23,0.07666666666666666,0.0,0.0,0.0,0.0
14,baseline,1,paper_1m_20260629_qpsl_seed1,295,1.0,3.0,3,0.010169491525423728,0.0,0.0,0.0,0.0
15,baseline,1,paper_1m_20260629_qpsl_seed1,184,1.0,1.0,1,0.005434782608695652,0.0,0.0,0.0,0.0
16,baseline,1,paper_1m_20260629_qpsl_seed1,222,1.0,2.0,2,0.009009009009009009,0.0,0.0,0.0,0.0
17,baseline,1,paper_1m_20260629_qpsl_seed1,292,1.0,30.0,30,0.10273972602739725,0.0,0.0,0.0,0.0
18,baseline,1,paper_1m_20260629_qpsl_seed1,306,1.0,12.0,12,0.0392156862745098,0.0,0.0,0.0,0.0
19,baseline,1,paper_1m_20260629_qpsl_seed1,215,1.0,7.0,7,0.03255813953488372,0.0,0.0,0.0,0.0
