candidate,seed_count,success_rate_mean,clean_success_rate_mean,mean_reward_mean,mean_episode_cost_mean,mean_cost_rate_mean,crash_rate_mean,out_of_road_rate_mean,out_of_time_rate_mean,intervention_ratio_mean,mean_action_distortion_mean,success_rate_std,clean_success_rate_std,mean_reward_std,mean_episode_cost_std,mean_cost_rate_std,crash_rate_std,out_of_road_rate_std,out_of_time_rate_std,intervention_ratio_std,mean_action_distortion_std,success_delta_vs_none,clean_success_delta_vs_none,reward_delta_vs_none,episode_cost_reduction_vs_none,cost_rate_reduction_vs_none,crash_rate_reduction_vs_none,out_of_road_reduction_vs_none,gate_success_not_lower_cost_lower,gate_dominant_strict
nocicim_close_range,5,0.848,0.09,333.37626060934315,10.36,0.027445595786242137,0.876,0.124,0.0,0.16288910323837646,0.15691903529285461,0.07395944834840236,0.021213203435596427,11.339663159335593,0.7071067811865475,0.0015738212074821976,0.025099800796022288,0.058566201857385286,0.0,0.02670579497508105,0.026280220544562607,0.03400000000000003,0.00399999999999999,5.515302510556296,5.73,0.022467150059997824,-0.0040000000000000036,0.064,1,1
none,5,0.814,0.08600000000000001,327.86095809878685,16.09,0.04991274584623996,0.872,0.188,0.0,0.0,0.0,0.0753657747256671,0.033615472627943226,8.600003127493341,1.575737922371611,0.004007434092713624,0.03271085446759228,0.07661592523751182,0.0,0.0,0.0,,,,,,,,,
