algo,selected_candidate,baseline_success_rate,nocicim_success_rate,success_delta,baseline_clean_success_rate,nocicim_clean_success_rate,clean_success_delta,baseline_mean_cost_rate,nocicim_mean_cost_rate,cost_rate_delta,baseline_crash_rate,nocicim_crash_rate,crash_delta,baseline_out_of_road_rate,nocicim_out_of_road_rate,out_of_road_delta
td3,nocicim_soft_front_trim,0.7919999999999999,0.7939999999999999,0.0020000000000000018,0.092,0.092,0.0,0.05643428855784797,0.04683233312696085,-0.00960195543088712,0.856,0.854,-0.0020000000000000018,0.226,0.196,-0.03
epo,nocicim_crash_aware_route,0.7000000000000001,0.714,0.013999999999999901,0.196,0.2,0.0040000000000000036,0.016409097406092473,0.016091103485159974,-0.00031799392093249945,0.71,0.702,-0.008000000000000007,0.284,0.27,-0.013999999999999957
rec,nocicim_route_preserve,0.746,0.768,0.02200000000000002,0.078,0.082,0.0040000000000000036,0.04686858733104424,0.04174989466014495,-0.005118692670899289,0.838,0.834,-0.0040000000000000036,0.26,0.232,-0.027999999999999997
qpsl,nocicim_soft_crash_guard,0.8119999999999999,0.816,0.0040000000000000036,0.08600000000000001,0.09,0.00399999999999999,0.049973674057988145,0.05111738445475498,0.0011437103967668338,0.872,0.872,0.0,0.19,0.196,0.006000000000000005
lag,nocicim_monitor_only,0.724,0.724,0.0,0.202,0.202,0.0,0.017503314369426547,0.017498117901238164,-5.1964681883828745e-06,0.718,0.718,0.0,0.256,0.256,0.0
fac,nocicim_monitor_only,0.574,0.574,0.0,0.214,0.214,0.0,0.0103700233182474,0.010380305918053235,1.0282599805835554e-05,0.5720000000000001,0.5720000000000001,0.0,0.384,0.384,0.0
