comparison,nocicim_success,nocicim_cost,baseline_success,baseline_cost,delta_success,delta_cost,gate_success_not_lower_and_cost_lower
train_eval_nocicim_vs_original_qpsl,0.46,4.41,0.85,16.35,-0.38999999999999996,-11.940000000000001,0
paired_eval_nocicim_vs_same_policy_none,0.49,5.1,0.49,7.62,0.0,-2.5200000000000005,1
